 27-May-2011       (david_102.dat - 1.0*Aver(david_101.dat,david_103.dat) /  5
david_102.da  Conc = .56E+01  N1 =    1  N2 = 2178
david_101.da  Conc = 0.0d+0   N1 =    1  N2 = 2178
david_103.da  Conc = 0.0d+0   N1 =    1  N2 = 2178
  6.710100E-03  0.428507E+02  0.150206E+02
  6.983610E-03  0.371583E+02  0.120745E+02
  7.257120E-03  0.408993E+02  0.103735E+02
  7.530620E-03  0.408354E+02  0.888490E+01
  7.804130E-03  0.392302E+02  0.788737E+01
  8.077640E-03  0.410333E+02  0.701864E+01
  8.351150E-03  0.405198E+02  0.626226E+01
  8.624660E-03  0.398327E+02  0.557680E+01
  8.898170E-03  0.376583E+02  0.493428E+01
  9.171680E-03  0.426385E+02  0.448822E+01
  9.445180E-03  0.394002E+02  0.405763E+01
  9.718690E-03  0.409577E+02  0.362839E+01
  9.992200E-03  0.427176E+02  0.330045E+01
  1.026570E-02  0.424092E+02  0.301421E+01
  1.053920E-02  0.388327E+02  0.268213E+01
  1.081270E-02  0.414397E+02  0.248770E+01
  1.108620E-02  0.407536E+02  0.224936E+01
  1.135970E-02  0.399541E+02  0.208821E+01
  1.163330E-02  0.429281E+02  0.196225E+01
  1.190680E-02  0.399829E+02  0.174270E+01
  1.218030E-02  0.408174E+02  0.167163E+01
  1.245380E-02  0.405459E+02  0.151786E+01
  1.272730E-02  0.396763E+02  0.143743E+01
  1.300080E-02  0.403885E+02  0.134458E+01
  1.327430E-02  0.415046E+02  0.122535E+01
  1.354780E-02  0.422104E+02  0.119278E+01
  1.382130E-02  0.407036E+02  0.108994E+01
  1.409480E-02  0.399007E+02  0.103948E+01
  1.436830E-02  0.407574E+02  0.985501E+00
  1.464180E-02  0.402654E+02  0.914917E+00
  1.491540E-02  0.412751E+02  0.910014E+00
  1.518890E-02  0.407122E+02  0.838351E+00
  1.546240E-02  0.402344E+02  0.786370E+00
  1.573590E-02  0.404497E+02  0.754892E+00
  1.600940E-02  0.402723E+02  0.723288E+00
  1.628290E-02  0.399225E+02  0.713943E+00
  1.655640E-02  0.393617E+02  0.654925E+00
  1.682990E-02  0.400140E+02  0.638461E+00
  1.710340E-02  0.393702E+02  0.610038E+00
  1.737690E-02  0.393912E+02  0.592541E+00
  1.765040E-02  0.389514E+02  0.578000E+00
  1.792400E-02  0.384298E+02  0.534857E+00
  1.819750E-02  0.393363E+02  0.540859E+00
  1.847100E-02  0.389136E+02  0.516428E+00
  1.874450E-02  0.385932E+02  0.504028E+00
  1.901800E-02  0.384952E+02  0.477458E+00
  1.929150E-02  0.382998E+02  0.469140E+00
  1.956500E-02  0.384458E+02  0.467930E+00
  1.983850E-02  0.384194E+02  0.446625E+00
  2.011200E-02  0.377923E+02  0.430574E+00
  2.038550E-02  0.377878E+02  0.425662E+00
  2.065900E-02  0.382985E+02  0.411135E+00
  2.093250E-02  0.375247E+02  0.399140E+00
  2.120610E-02  0.375944E+02  0.381090E+00
  2.147960E-02  0.373182E+02  0.374032E+00
  2.175310E-02  0.370178E+02  0.364447E+00
  2.202660E-02  0.370336E+02  0.360924E+00
  2.230010E-02  0.370248E+02  0.352106E+00
  2.257360E-02  0.365638E+02  0.344571E+00
  2.284710E-02  0.372013E+02  0.346449E+00
  2.312060E-02  0.370400E+02  0.338351E+00
  2.339410E-02  0.368628E+02  0.336675E+00
  2.366760E-02  0.368292E+02  0.327488E+00
  2.394110E-02  0.366018E+02  0.328710E+00
  2.421460E-02  0.362092E+02  0.325465E+00
  2.448820E-02  0.362865E+02  0.318498E+00
  2.476170E-02  0.359637E+02  0.318900E+00
  2.503520E-02  0.358153E+02  0.311969E+00
  2.530870E-02  0.356938E+02  0.314075E+00
  2.558220E-02  0.351789E+02  0.306066E+00
