Sample description: b1c
Sample: b1c  c= 1.0000 mg/ml  Code: b1c
Parent(s): b1c_avg481-496.dat b1c_avg400-430.dat
  3.655610e-03   1.671700e+02   4.018362e+01
  3.960240e-03   1.495100e+02   3.054617e+01
  4.264870e-03   1.620700e+02   2.093452e+01
  4.569490e-03   1.352000e+02   1.782438e+01
  4.874120e-03   1.106800e+02   1.477391e+01
  5.178750e-03   1.418700e+02   1.285474e+01
  5.483380e-03   1.470000e+02   1.119663e+01
  5.788010e-03   1.056700e+02   9.518419e+00
  6.092640e-03   1.247200e+02   8.922810e+00
  6.397270e-03   1.124300e+02   7.855141e+00
  6.701900e-03   1.380300e+02   6.885755e+00
  7.006530e-03   1.310100e+02   6.416321e+00
  7.311160e-03   1.245620e+02   5.564163e+00
  7.615790e-03   1.264270e+02   5.343364e+00
  7.920420e-03   1.171510e+02   4.735835e+00
  8.225050e-03   1.257380e+02   4.337499e+00
  8.529680e-03   1.271100e+02   4.104789e+00
  8.834310e-03   1.308540e+02   3.732206e+00
  9.138940e-03   1.227970e+02   3.498767e+00
  9.443570e-03   1.191670e+02   3.196835e+00
  9.748200e-03   1.230760e+02   3.032177e+00
  1.005280e-02   1.244110e+02   2.866760e+00
  1.035750e-02   1.286980e+02   2.621408e+00
  1.066210e-02   1.271220e+02   2.504509e+00
  1.096670e-02   1.254280e+02   2.345397e+00
  1.127130e-02   1.252120e+02   2.220344e+00
  1.157600e-02   1.236150e+02   2.112483e+00
  1.188060e-02   1.213990e+02   1.957444e+00
  1.218520e-02   1.273750e+02   1.904259e+00
  1.248990e-02   1.242210e+02   1.794008e+00
  1.279450e-02   1.235790e+02   1.719186e+00
  1.309910e-02   1.236100e+02   1.623872e+00
  1.340380e-02   1.228080e+02   1.545607e+00
  1.370840e-02   1.252650e+02   1.497063e+00
  1.401300e-02   1.243270e+02   1.430570e+00
  1.431760e-02   1.208520e+02   1.367835e+00
  1.462230e-02   1.212680e+02   1.313972e+00
  1.492690e-02   1.212830e+02   1.253351e+00
  1.523150e-02   1.222732e+02   1.216605e+00
  1.553620e-02   1.214955e+02   1.168378e+00
  1.584080e-02   1.214229e+02   1.120858e+00
  1.614540e-02   1.230397e+02   1.091578e+00
  1.645000e-02   1.212304e+02   1.050050e+00
  1.675470e-02   1.227639e+02   1.012501e+00
  1.705930e-02   1.205706e+02   9.753973e-01
  1.736390e-02   1.205946e+02   9.560050e-01
  1.766860e-02   1.206806e+02   9.232401e-01
  1.797320e-02   1.190663e+02   8.991021e-01
  1.827780e-02   1.203423e+02   8.890099e-01
  1.858250e-02   1.210450e+02   8.878988e-01
  1.888710e-02   1.196212e+02   8.736018e-01
  1.919170e-02   1.192973e+02   8.599222e-01
  1.949630e-02   1.197348e+02   8.374589e-01
  1.980100e-02   1.195071e+02   8.226634e-01
  2.010560e-02   1.186807e+02   8.129219e-01
  2.041020e-02   1.185711e+02   7.972680e-01
  2.071490e-02   1.182384e+02   7.818224e-01
  2.101950e-02   1.180043e+02   7.626906e-01
  2.132410e-02   1.182903e+02   7.537410e-01
  2.162870e-02   1.160215e+02   7.403212e-01
  2.193340e-02   1.172888e+02   7.277628e-01
  2.223800e-02   1.177564e+02   7.129125e-01
  2.254260e-02   1.173370e+02   7.035398e-01
  2.284730e-02   1.175279e+02   6.911985e-01
  2.315190e-02   1.165122e+02   6.787942e-01
  2.345650e-02   1.161185e+02   6.572528e-01
  2.376120e-02   1.141906e+02   6.509424e-01
  2.406580e-02   1.153389e+02   6.425715e-01
  2.437040e-02   1.144738e+02   6.320807e-01
  2.467500e-02   1.140584e+02   6.119706e-01
  2.497970e-02   1.139827e+02   6.091855e-01
  2.528430e-02   1.151740e+02   6.074630e-01
  2.558890e-02   1.140992e+02   5.909969e-01
  2.589360e-02   1.130407e+02   5.898982e-01
  2.619820e-02   1.134498e+02   5.655814e-01
  2.650280e-02   1.131190e+02   5.696703e-01
  2.680750e-02   1.128540e+02   5.641046e-01
  2.711210e-02   1.115344e+02   5.525304e-01
  2.741670e-02   1.126166e+02   5.524796e-01
  2.772130e-02   1.111222e+02   5.342290e-01
  2.802600e-02   1.108200e+02   5.340609e-01
  2.833060e-02   1.112613e+02   5.333884e-01
  2.863520e-02   1.101237e+02   5.155433e-01
  2.893990e-02   1.102667e+02   5.217652e-01
  2.924450e-02   1.107611e+02   5.072480e-01
  2.954910e-02   1.103772e+02   5.038567e-01
  2.985370e-02   1.095358e+02   4.944976e-01
  3.015840e-02   1.098462e+02   4.854625e-01
  3.046300e-02   1.093327e+02   4.855548e-01
  3.076760e-02   1.080527e+02   4.769934e-01
  3.107230e-02   1.081300e+02   4.722108e-01
  3.137690e-02   1.081174e+02   4.621113e-01
  3.168150e-02   1.074510e+02   4.573704e-01
  3.198620e-02   1.077156e+02   4.562678e-01
  3.229080e-02   1.075725e+02   4.478915e-01
  3.259540e-02   1.068734e+02   4.423176e-01
  3.290000e-02   1.059353e+02   4.413392e-01
  3.320470e-02   1.062441e+02   4.356661e-01
  3.350930e-02   1.053415e+02   4.343573e-01
  3.381390e-02   1.056656e+02   4.217493e-01
  3.411860e-02   1.054622e+02   4.284380e-01
  3.442320e-02   1.046565e+02   4.188182e-01
  3.472780e-02   1.040321e+02   4.221131e-01
  3.503240e-02   1.036505e+02   4.167474e-01
  3.533710e-02   1.036813e+02   4.124557e-01
  3.564170e-02   1.036247e+02   4.085136e-01
  3.594630e-02   1.031170e+02   4.061654e-01
  3.625100e-02   1.020189e+02   4.066584e-01
  3.655560e-02   1.014555e+02   4.003392e-01
  3.686020e-02   1.022518e+02   4.006683e-01
  3.716490e-02   1.022933e+02   3.982295e-01
  3.746950e-02   1.009350e+02   3.902662e-01
  3.777410e-02   1.016160e+02   3.934660e-01
  3.807870e-02   1.008668e+02   3.887810e-01
  3.838340e-02   1.000796e+02   3.889467e-01
  3.868800e-02   9.947390e+01   3.863516e-01
  3.899260e-02   9.990550e+01   3.798586e-01
  3.929730e-02   1.001520e+02   3.845997e-01
  3.960190e-02   9.916910e+01   3.768004e-01
  3.990650e-02   9.822240e+01   3.773290e-01
  4.021120e-02   9.760650e+01   3.755457e-01
  4.051580e-02   9.759310e+01   3.710725e-01
  4.082040e-02   9.725690e+01   3.739295e-01
  4.112500e-02   9.616520e+01   3.653034e-01
  4.142970e-02   9.631330e+01   3.664319e-01
  4.173430e-02   9.648960e+01   3.655843e-01
  4.203890e-02   9.573660e+01   3.606637e-01
  4.234360e-02   9.543420e+01   3.650481e-01
  4.264820e-02   9.523400e+01   3.585072e-01
  4.295280e-02   9.450810e+01   3.605850e-01
  4.325740e-02   9.385530e+01   3.641244e-01
  4.356210e-02   9.437230e+01   3.719015e-01
  4.386670e-02   9.377730e+01   3.752202e-01
  4.417130e-02   9.340420e+01   3.710919e-01
  4.447600e-02   9.271360e+01   3.771133e-01
  4.478060e-02   9.200480e+01   3.714250e-01
  4.508520e-02   9.204930e+01   3.784663e-01
  4.538990e-02   9.145250e+01   3.753589e-01
  4.569450e-02   9.168020e+01   3.777048e-01
  4.599910e-02   9.084520e+01   3.774649e-01
  4.630370e-02   9.094140e+01   3.777527e-01
  4.660840e-02   8.934820e+01   3.786222e-01
  4.691300e-02   8.923670e+01   3.762075e-01
  4.721760e-02   8.924890e+01   3.779726e-01
  4.752230e-02   8.922600e+01   3.811143e-01
  4.782690e-02   8.836580e+01   3.785348e-01
  4.813150e-02   8.839710e+01   3.806071e-01
  4.843610e-02   8.806010e+01   3.759671e-01
  4.874080e-02   8.727080e+01   3.789309e-01
  4.904540e-02   8.607550e+01   3.761099e-01
  4.935000e-02   8.645520e+01   3.750991e-01
  4.965470e-02   8.656340e+01   3.804257e-01
