          NSD  Filename
        0.000  Amot8007_13_1-1.pdb
        1.301  Amot8007_13_6-1r.pdb
        0.954  Amot8007_13_2-1r.pdb
        3.533  Amot8007_12_1-1r.pdb
        1.496  Amot8007_13_3-1r.pdb
        1.214  Amot8007_13_4-1r.pdb
        3.050  Amot8007_12_4-1r.pdb
        1.610  Amot8007_13_7-1r.pdb
        3.558  Amot8007_12_8-1r.pdb
        2.512  Amot8007_13_10-1r.pdb
        3.276  Amot8007_12_3-1r.pdb
        2.685  Amot8007_13_5-1r.pdb
        3.384  Amot8007_12_6-1r.pdb
        3.392  Amot8007_36r.pdb
        1.583  Amot8007_13_8-1r.pdb
        3.254  Amot8007_12_2-1r.pdb
        4.033  Amot8007_12_7-1r.pdb
        3.823  Amot8007_12_9-1r.pdb
        3.891  Amot8007_12_10-1r.pdb
        3.805  Amot8007_12_5-1r.pdb
