Sample description: primus/qt temporary file
Sample: primus/qt tempo  c= 0 mg/ml  Code: tmp
Parent(s): /data/lachlan/Data/JL15_SAXS_Jul2015/sec2/msub/SENDING/gi_0220.dat
  1.209900e-02   5.904015e-02   2.914626e-03
  1.287960e-02   5.866292e-02   2.420993e-03
  1.366020e-02   5.864966e-02   2.182479e-03
  1.444070e-02   5.877632e-02   2.128376e-03
  1.522130e-02   5.681988e-02   1.996186e-03
  1.600190e-02   5.531214e-02   1.820910e-03
  1.678250e-02   5.669547e-02   1.856790e-03
  1.756310e-02   5.667763e-02   1.829041e-03
  1.834360e-02   5.514766e-02   1.733755e-03
  1.912420e-02   5.402436e-02   1.621425e-03
  1.990480e-02   5.392316e-02   1.655882e-03
  2.068530e-02   5.347105e-02   1.494675e-03
  2.146590e-02   5.193181e-02   1.482419e-03
  2.224650e-02   5.263079e-02   1.409080e-03
  2.302710e-02   5.082850e-02   1.455187e-03
  2.380760e-02   4.974041e-02   1.459945e-03
  2.458820e-02   4.984707e-02   1.413467e-03
  2.536880e-02   4.898078e-02   1.381165e-03
  2.614930e-02   4.812083e-02   1.312652e-03
  2.692990e-02   4.776135e-02   1.371172e-03
  2.771050e-02   4.686289e-02   1.320364e-03
  2.849100e-02   4.553845e-02   1.379001e-03
  2.927160e-02   4.481558e-02   1.356391e-03
  3.005210e-02   4.347779e-02   1.213904e-03
  3.083270e-02   4.392794e-02   1.282700e-03
  3.161330e-02   4.269632e-02   1.205656e-03
  3.239380e-02   4.279334e-02   1.210365e-03
  3.317440e-02   4.132381e-02   1.153474e-03
  3.395490e-02   4.136642e-02   1.147409e-03
  3.473550e-02   3.961230e-02   1.130006e-03
  3.551600e-02   3.855618e-02   1.086091e-03
  3.629660e-02   3.673751e-02   1.044118e-03
  3.707710e-02   3.679855e-02   1.101311e-03
  3.785770e-02   3.640767e-02   1.063618e-03
  3.863820e-02   3.496418e-02   1.079149e-03
  3.941880e-02   3.472852e-02   1.046058e-03
  4.019930e-02   3.342729e-02   1.086130e-03
  4.097990e-02   3.341149e-02   1.175694e-03
  4.176040e-02   3.294681e-02   1.158446e-03
  4.254100e-02   3.114062e-02   1.165924e-03
  4.332150e-02   3.008284e-02   1.098279e-03
  4.410200e-02   3.058341e-02   1.110067e-03
  4.488260e-02   2.925897e-02   1.117116e-03
  4.566310e-02   2.779842e-02   1.019743e-03
  4.644360e-02   2.769858e-02   9.940905e-04
  4.722420e-02   2.699083e-02   9.655181e-04
  4.800470e-02   2.624817e-02   8.934120e-04
  4.878520e-02   2.453500e-02   8.758162e-04
  4.956580e-02   2.375061e-02   8.491275e-04
  5.034630e-02   2.342545e-02   8.569762e-04
  5.112680e-02   2.221674e-02   8.184238e-04
  5.190730e-02   2.220845e-02   8.255276e-04
  5.268780e-02   2.144522e-02   8.150941e-04
  5.346830e-02   2.068570e-02   7.895725e-04
  5.424890e-02   2.013453e-02   7.243246e-04
  5.502940e-02   1.882159e-02   7.601695e-04
  5.580990e-02   1.909957e-02   7.373954e-04
  5.659040e-02   1.882345e-02   7.664894e-04
  5.737090e-02   1.765871e-02   7.180358e-04
  5.815140e-02   1.660757e-02   6.859944e-04
  5.893190e-02   1.610066e-02   7.049543e-04
  5.971240e-02   1.486154e-02   6.988186e-04
  6.049290e-02   1.486407e-02   6.907826e-04
  6.127340e-02   1.381711e-02   6.815445e-04
  6.205390e-02   1.371640e-02   6.548860e-04
  6.283440e-02   1.304443e-02   6.616915e-04
  6.361490e-02   1.300065e-02   6.523930e-04
  6.439530e-02   1.240522e-02   6.609652e-04
  6.517580e-02   1.182022e-02   6.397199e-04
  6.595630e-02   1.120119e-02   6.249711e-04
  6.673680e-02   1.083488e-02   6.210106e-04
  6.751730e-02   1.021722e-02   5.812843e-04
  6.829770e-02   9.374069e-03   5.886192e-04
  6.907820e-02   8.940692e-03   6.053522e-04
  6.985870e-02   8.307556e-03   5.659339e-04
  7.063910e-02   8.700130e-03   5.801152e-04
  7.141960e-02   8.235172e-03   5.714387e-04
  7.220010e-02   7.315922e-03   5.477462e-04
  7.298050e-02   7.002850e-03   5.624443e-04
  7.376100e-02   6.754595e-03   5.550236e-04
  7.454140e-02   6.312140e-03   5.591050e-04
  7.532190e-02   6.391144e-03   5.379085e-04
  7.610230e-02   5.940724e-03   5.526095e-04
  7.688280e-02   5.394646e-03   5.095720e-04
  7.766320e-02   4.703410e-03   5.045888e-04
  7.844360e-02   5.104047e-03   5.236267e-04
  7.922410e-02   4.443874e-03   5.054078e-04
  8.000450e-02   4.429805e-03   5.099464e-04
  8.078490e-02   4.256284e-03   4.805502e-04
  8.156540e-02   3.589111e-03   4.781917e-04
  8.234580e-02   2.878278e-03   4.668134e-04
  8.312620e-02   3.753428e-03   4.890766e-04
  8.390660e-02   3.111888e-03   4.736170e-04
  8.468700e-02   2.903911e-03   4.729384e-04
  8.546740e-02   2.755720e-03   4.734044e-04
  8.624790e-02   2.118041e-03   4.549106e-04
  8.702830e-02   2.116472e-03   4.510418e-04
  8.780870e-02   2.130989e-03   4.461551e-04
  8.858910e-02   2.143820e-03   4.414576e-04
  8.936950e-02   2.065381e-03   4.524068e-04
  9.014980e-02   1.858779e-03   4.342455e-04
  9.093020e-02   1.381809e-03   4.370584e-04
  9.171060e-02   1.521312e-03   4.342777e-04
  9.249100e-02   1.690494e-03   4.350606e-04
  9.327140e-02   1.460219e-03   4.219234e-04
  9.405170e-02   9.431828e-04   4.322243e-04
  9.483210e-02   1.240346e-03   4.246798e-04
  9.561250e-02   1.148696e-03   4.160686e-04
  9.639280e-02   6.006585e-04   4.220492e-04
  9.717320e-02   8.728463e-04   4.140903e-04
  9.795360e-02   9.875775e-04   4.386028e-04
  9.873390e-02   5.610852e-04   4.325822e-04
  9.951430e-02   1.002027e-03   4.066676e-04
  1.002950e-01   8.029768e-04   4.088575e-04
  1.010750e-01   3.335114e-04   4.000376e-04
  1.018550e-01   4.390347e-04   4.125157e-04
  1.026360e-01   8.988467e-04   4.013266e-04
  1.034160e-01   4.335464e-04   4.063186e-04
  1.041960e-01   5.578989e-04   4.105140e-04
  1.049770e-01   6.262084e-04   4.092631e-04
  1.057570e-01   6.694282e-04   4.005729e-04
  1.065370e-01   1.827901e-04   3.898996e-04
  1.073180e-01   4.811723e-05   3.844854e-04
  1.080980e-01   2.656914e-04   3.893263e-04
  1.088780e-01  -3.058877e-05   3.908248e-04
  1.096580e-01   2.109559e-04   3.822634e-04
  1.104390e-01   3.826290e-04   3.887579e-04
  1.112190e-01   3.192540e-04   3.985176e-04
  1.119990e-01  -5.288985e-05   3.855930e-04
  1.127800e-01   5.428205e-04   3.967021e-04
  1.135600e-01   2.919891e-04   3.772002e-04
  1.143400e-01   1.663301e-04   3.791161e-04
  1.151200e-01   1.717940e-04   3.753019e-04
  1.159010e-01   4.339901e-04   3.735849e-04
  1.166810e-01   2.160268e-04   3.709846e-04
  1.174610e-01   5.563428e-04   3.777374e-04
  1.182410e-01   3.665191e-04   3.709036e-04
  1.190220e-01   2.594514e-04   3.660832e-04
  1.198020e-01  -1.648033e-04   3.680537e-04
  1.205820e-01   2.486971e-04   3.744244e-04
  1.213620e-01  -1.679681e-04   3.694256e-04
  1.221430e-01   2.470601e-04   3.880588e-04
