 Ense  Average  Radius of gyration =  35.52
 Ense Histogram Radius of gyration =  35.06
 Pool  Average  Radius of gyration =   0.00
 Pool Histogram Radius of gyration =  35.05
       Rg     Pool freq.    Sel. freq.
      17.20  0.0000000000  0.0000000000
      18.10  0.0000000000  0.0000000000
      19.00  0.0004400000  0.0002684564
      19.90  0.0015800000  0.0013422819
      20.80  0.0033200000  0.0040268456
      21.70  0.0056400000  0.0059060403
      22.60  0.0088600000  0.0097315436
      23.50  0.0129200000  0.0134228188
      24.40  0.0180400000  0.0179865772
      25.30  0.0238800000  0.0223489933
      26.20  0.0294600000  0.0279194631
      27.10  0.0347200000  0.0344295302
      28.00  0.0406200000  0.0413422819
      28.90  0.0447400000  0.0469127517
      29.80  0.0471400000  0.0492617450
      30.70  0.0499200000  0.0518791946
      31.60  0.0515400000  0.0518791946
      32.50  0.0508600000  0.0499328859
      33.40  0.0508800000  0.0489932886
      34.30  0.0494200000  0.0481879195
      35.20  0.0473000000  0.0461744966
      36.10  0.0452800000  0.0436241611
      37.00  0.0433400000  0.0418791946
      37.90  0.0401000000  0.0383221477
      38.80  0.0380200000  0.0369127517
      39.70  0.0345800000  0.0341610738
      40.60  0.0315200000  0.0312080537
      41.50  0.0284400000  0.0291275168
      42.40  0.0250600000  0.0267785235
      43.30  0.0219600000  0.0226845638
      44.20  0.0195800000  0.0205369128
      45.10  0.0170600000  0.0181208054
      46.00  0.0149400000  0.0156375839
      46.90  0.0127400000  0.0132885906
      47.80  0.0108400000  0.0113422819
      48.70  0.0091400000  0.0091275168
      49.60  0.0075600000  0.0077852349
      50.50  0.0059600000  0.0059731544
      51.40  0.0050200000  0.0044966443
      52.30  0.0040200000  0.0037583893
      53.20  0.0034200000  0.0034899329
      54.10  0.0026400000  0.0026174497
      55.00  0.0019400000  0.0020134228
      55.90  0.0014200000  0.0014765101
      56.80  0.0011000000  0.0012080537
      57.70  0.0007600000  0.0006711409
      58.60  0.0005600000  0.0004697987
      59.50  0.0004600000  0.0003355705
      60.40  0.0003600000  0.0003355705
      61.30  0.0003000000  0.0002684564
      62.20  0.0001800000  0.0001342282
      63.10  0.0001200000  0.0000671141
      64.00  0.0000000000  0.0000000000
      64.90  0.0000000000  0.0000000000
