 Ense  Average  Radius of gyration =  72.17
 Ense Histogram Radius of gyration =  71.39
 Pool  Average  Radius of gyration =   0.00
 Pool Histogram Radius of gyration =  75.66
       Rg     Pool freq.    Sel. freq.
      34.68  0.0000000000  0.0000000000
      36.84  0.0000000000  0.0000000000
      39.00  0.0005133333  0.0073283859
      41.16  0.0013666667  0.0091836735
      43.32  0.0030466667  0.0202226345
      45.48  0.0057800000  0.0286641929
      47.64  0.0098600000  0.0285714286
      49.80  0.0148866667  0.0458256030
      51.96  0.0210400000  0.0694805195
      54.12  0.0273933333  0.0739332096
      56.28  0.0334200000  0.0705009276
      58.44  0.0394800000  0.0693877551
      60.60  0.0444600000  0.0548237477
      62.76  0.0482200000  0.0327458256
      64.92  0.0513066667  0.0217996289
      67.08  0.0532933333  0.0280148423
      69.24  0.0537933333  0.0289424861
      71.40  0.0535133333  0.0286641929
      73.56  0.0528400000  0.0269016698
      75.72  0.0509200000  0.0310760668
      77.88  0.0487133333  0.0194805195
      80.04  0.0459866667  0.0172541744
      82.20  0.0433600000  0.0166048237
      84.36  0.0396266667  0.0175324675
      86.52  0.0361133333  0.0110389610
      88.68  0.0327733333  0.0118738404
      90.84  0.0294000000  0.0115027829
      93.00  0.0256333333  0.0108534323
      95.16  0.0226600000  0.0119666048
      97.32  0.0199800000  0.0131725417
      99.48  0.0168133333  0.0146567718
     101.64  0.0141333333  0.0159554731
     103.80  0.0120400000  0.0166975881
     105.96  0.0099133333  0.0160482375
     108.12  0.0079333333  0.0183673469
     110.28  0.0067266667  0.0153988868
     112.44  0.0055000000  0.0154916512
     114.60  0.0042933333  0.0129870130
     116.76  0.0034400000  0.0121521336
     118.92  0.0027133333  0.0073283859
     121.08  0.0020400000  0.0084415584
     123.24  0.0014133333  0.0062152134
     125.40  0.0010933333  0.0055658627
     127.56  0.0008000000  0.0039888683
     129.72  0.0005466667  0.0030612245
     131.88  0.0003666667  0.0010204082
     134.04  0.0002733333  0.0006493506
     136.20  0.0002000000  0.0006493506
     138.36  0.0000866667  0.0000000000
     140.52  0.0000466667  0.0000000000
     142.68  0.0000333333  0.0000000000
     144.84  0.0000133333  0.0000000000
     147.00  0.0000000000  0.0000000000
     149.16  0.0000000000  0.0000000000
