Sample description: BSA
Sample: BSA  c= 8.3400 mg/ml  Code: bsa
Parent(s): data/frames/img_0001_02311.dat data/subtracted/img_0001_buffer.dat
  5.355860e-02   7.450606e+03   2.936011e+02
  5.555710e-02   7.059331e+03   2.452990e+02
  5.755550e-02   7.351809e+03   1.998709e+02
  5.955390e-02   6.798898e+03   1.819283e+02
  6.155240e-02   5.800515e+03   1.550746e+02
  6.355080e-02   5.213638e+03   1.280107e+02
  6.554920e-02   4.499409e+03   1.214980e+02
  6.754770e-02   3.858430e+03   1.081990e+02
  6.954610e-02   3.584872e+03   1.075495e+02
  7.154450e-02   3.196056e+03   9.766551e+01
  7.354300e-02   2.775482e+03   9.077774e+01
  7.554140e-02   2.716773e+03   9.004096e+01
  7.753980e-02   2.434809e+03   8.259471e+01
  7.953830e-02   2.500533e+03   8.243972e+01
  8.153670e-02   2.074242e+03   7.536652e+01
  8.353510e-02   1.942005e+03   7.336357e+01
  8.553360e-02   2.006129e+03   7.274020e+01
  8.753200e-02   1.778635e+03   6.746380e+01
  8.953040e-02   1.677080e+03   6.638639e+01
  9.152890e-02   1.613261e+03   6.283131e+01
  9.352730e-02   1.625885e+03   6.398714e+01
  9.552570e-02   1.359065e+03   5.942569e+01
  9.752420e-02   1.386729e+03   5.752327e+01
  9.952260e-02   1.328875e+03   5.749985e+01
  1.015210e-01   1.359638e+03   5.545845e+01
  1.035190e-01   1.242790e+03   5.533889e+01
  1.055180e-01   1.259203e+03   5.329122e+01
  1.075160e-01   1.109204e+03   5.049482e+01
  1.095150e-01   1.122982e+03   5.157705e+01
  1.115130e-01   1.029598e+03   4.892458e+01
  1.135120e-01   1.061602e+03   4.931590e+01
  1.155100e-01   1.035575e+03   4.730063e+01
  1.175080e-01   1.033999e+03   4.724166e+01
  1.195070e-01   1.027694e+03   4.730841e+01
  1.215050e-01   1.002001e+03   4.550666e+01
  1.235040e-01   9.501820e+02   4.534372e+01
  1.255020e-01   9.197160e+02   4.370910e+01
  1.275010e-01   1.017649e+03   4.490588e+01
  1.294990e-01   9.557980e+02   4.382246e+01
  1.314980e-01   8.837190e+02   4.183272e+01
  1.334960e-01   8.720460e+02   4.200048e+01
  1.354940e-01   9.439570e+02   4.194211e+01
  1.374930e-01   8.544410e+02   4.139818e+01
  1.394910e-01   8.630250e+02   4.033721e+01
  1.414900e-01   8.837170e+02   3.989960e+01
  1.434880e-01   9.340830e+02   4.076448e+01
  1.454870e-01   8.560810e+02   3.949230e+01
  1.474850e-01   8.035940e+02   3.905037e+01
  1.494830e-01   9.371290e+02   3.897360e+01
  1.514820e-01   9.200710e+02   3.932840e+01
  1.534800e-01   7.738590e+02   3.760071e+01
  1.554790e-01   8.215410e+02   3.732774e+01
  1.574770e-01   8.750850e+02   3.840893e+01
  1.594760e-01   8.086040e+02   3.621481e+01
  1.614740e-01   8.290410e+02   3.734459e+01
  1.634720e-01   8.168470e+02   3.651920e+01
  1.654710e-01   8.603660e+02   3.615986e+01
  1.674690e-01   7.330760e+02   3.545666e+01
  1.694680e-01   7.566460e+02   3.488982e+01
  1.714660e-01   7.309800e+02   3.530564e+01
  1.734650e-01   8.383600e+02   3.506319e+01
  1.754630e-01   7.628160e+02   3.450675e+01
  1.774610e-01   7.767740e+02   3.470366e+01
  1.794600e-01   7.806730e+02   3.419028e+01
  1.814580e-01   7.705820e+02   3.407424e+01
  1.834570e-01   7.465580e+02   3.322056e+01
  1.854550e-01   8.015440e+02   3.389282e+01
  1.874540e-01   6.706090e+02   3.336240e+01
  1.894520e-01   7.179580e+02   3.330962e+01
  1.914510e-01   7.188640e+02   3.364998e+01
  1.934490e-01   7.347500e+02   3.345801e+01
  1.954470e-01   6.657270e+02   3.379067e+01
  1.974460e-01   6.959730e+02   3.388934e+01
  1.994440e-01   7.789580e+02   3.414666e+01
  2.014430e-01   7.362960e+02   3.393748e+01
  2.034410e-01   7.427440e+02   3.384892e+01
  2.054400e-01   6.943920e+02   3.368591e+01
  2.074380e-01   7.000710e+02   3.332803e+01
  2.094360e-01   6.703270e+02   3.333974e+01
  2.114350e-01   6.953140e+02   3.358256e+01
  2.134330e-01   6.780150e+02   3.413289e+01
  2.154320e-01   6.300700e+02   3.438567e+01
  2.174300e-01   6.500070e+02   3.351879e+01
  2.194290e-01   7.278930e+02   3.563933e+01
  2.214270e-01   7.239520e+02   3.568816e+01
  2.234250e-01   7.061270e+02   3.591155e+01
  2.254240e-01   6.547140e+02   3.501801e+01
  2.274220e-01   7.525300e+02   3.577731e+01
  2.294210e-01   6.767910e+02   3.602924e+01
  2.314190e-01   7.040160e+02   3.597028e+01
  2.334180e-01   6.295820e+02   3.552621e+01
  2.354160e-01   6.264020e+02   3.557126e+01
  2.374140e-01   6.342840e+02   3.563671e+01
  2.394130e-01   6.717160e+02   3.687461e+01
  2.414110e-01   7.207990e+02   3.610014e+01
  2.434100e-01   7.213680e+02   3.706894e+01
  2.454080e-01   6.440660e+02   3.617771e+01
  2.474070e-01   6.721560e+02   3.544914e+01
  2.494050e-01   6.644700e+02   3.507772e+01
  2.514040e-01   6.603720e+02   3.399163e+01
  2.534020e-01   6.812370e+02   3.497037e+01
  2.554000e-01   6.922830e+02   3.399575e+01
  2.573990e-01   6.332930e+02   3.394745e+01
  2.593970e-01   5.936890e+02   3.302091e+01
  2.613960e-01   6.873780e+02   3.370823e+01
  2.633940e-01   6.411940e+02   3.374169e+01
  2.653930e-01   7.017230e+02   3.307554e+01
  2.673910e-01   6.489800e+02   3.284418e+01
  2.693890e-01   6.482550e+02   3.305456e+01
  2.713880e-01   6.022500e+02   3.219121e+01
  2.733860e-01   6.290530e+02   3.292441e+01
  2.753850e-01   6.184660e+02   3.195178e+01
  2.773830e-01   6.667870e+02   3.243854e+01
  2.793820e-01   5.814880e+02   3.160512e+01
  2.813800e-01   6.572430e+02   3.229538e+01
  2.833780e-01   6.392010e+02   3.236256e+01
  2.853770e-01   6.574660e+02   3.133016e+01
  2.873750e-01   5.958950e+02   3.156585e+01
  2.893740e-01   6.222800e+02   3.130794e+01
  2.913720e-01   6.521570e+02   3.179929e+01
  2.933710e-01   6.510430e+02   3.169444e+01
  2.953690e-01   5.900650e+02   3.058763e+01
  2.973670e-01   6.188310e+02   3.133436e+01
  2.993660e-01   6.224350e+02   3.099033e+01
  3.013640e-01   5.599420e+02   3.050399e+01
  3.033630e-01   5.807440e+02   3.036423e+01
  3.053610e-01   6.343570e+02   3.062738e+01
  3.073600e-01   5.821280e+02   3.082721e+01
  3.093580e-01   5.468630e+02   2.978868e+01
  3.113570e-01   5.733380e+02   2.980265e+01
  3.133550e-01   6.041290e+02   3.038333e+01
  3.153530e-01   6.227490e+02   3.043811e+01
  3.173520e-01   5.916580e+02   2.994400e+01
  3.193500e-01   5.833770e+02   2.953645e+01
  3.213490e-01   5.837710e+02   2.982560e+01
  3.233470e-01   5.539910e+02   2.958023e+01
  3.253460e-01   5.386910e+02   2.923741e+01
  3.273440e-01   5.915460e+02   2.954748e+01
  3.293420e-01   5.915480e+02   2.939197e+01
  3.313410e-01   5.423060e+02   2.909551e+01
  3.333390e-01   5.614900e+02   2.937775e+01
  3.353380e-01   5.919480e+02   2.891926e+01
  3.373360e-01   5.795880e+02   2.938440e+01
  3.393350e-01   5.727910e+02   2.878497e+01
  3.413330e-01   5.597090e+02   2.902900e+01
  3.433310e-01   5.607080e+02   2.869395e+01
  3.453300e-01   5.632100e+02   2.852899e+01
  3.473280e-01   5.021500e+02   2.823786e+01
  3.493270e-01   5.578540e+02   2.855914e+01
  3.513250e-01   5.742530e+02   2.882109e+01
  3.533240e-01   5.585580e+02   2.788915e+01
  3.553220e-01   5.159180e+02   2.826952e+01
  3.573200e-01   5.714310e+02   2.853792e+01
  3.593190e-01   5.337170e+02   2.813940e+01
  3.613170e-01   5.251020e+02   2.795072e+01
  3.633160e-01   5.432550e+02   2.859144e+01
  3.653140e-01   5.854710e+02   2.941984e+01
  3.673130e-01   5.286950e+02   2.892066e+01
  3.693110e-01   4.721610e+02   2.856449e+01
  3.713090e-01   5.388580e+02   2.923514e+01
  3.733080e-01   5.607380e+02   2.958012e+01
  3.753060e-01   5.701660e+02   2.970900e+01
  3.773050e-01   4.909280e+02   2.820371e+01
  3.793030e-01   4.850790e+02   2.817384e+01
  3.813020e-01   5.053300e+02   2.811214e+01
  3.833000e-01   4.519320e+02   2.799562e+01
  3.852990e-01   4.910420e+02   2.788076e+01
  3.872970e-01   5.161470e+02   2.762860e+01
  3.892950e-01   4.793680e+02   2.771649e+01
