 Ense  Average  Ca(N)-Ca(C) distance =  63.66
 Ense  Average  Ca(N)-Ca(C) distance =  62.36
 Pool  Average  Ca(N)-Ca(C) distance =  68.50
 Pool Histogram Ca(N)-Ca(C) distance =  67.23
    Distance    Pool freq.    Sel. freq.
       -0.52  0.0000000000  0.0000000000
        2.04  0.0002160000  0.0000000000
        4.60  0.0004640000  0.0013157895
        7.16  0.0009280000  0.0013157895
        9.72  0.0015720000  0.0020676692
       12.28  0.0024760000  0.0020676692
       14.83  0.0035840000  0.0030075188
       17.39  0.0048920000  0.0073308271
       19.95  0.0062920000  0.0122180451
       22.51  0.0080680000  0.0127819549
       25.07  0.0098920000  0.0219924812
       27.63  0.0118840000  0.0240601504
       30.19  0.0138800000  0.0227443609
       32.74  0.0163160000  0.0240601504
       35.30  0.0185640000  0.0289473684
       37.86  0.0206920000  0.0278195489
       40.42  0.0228840000  0.0357142857
       42.98  0.0250560000  0.0345864662
       45.54  0.0271760000  0.0353383459
       48.10  0.0290040000  0.0345864662
       50.65  0.0308440000  0.0411654135
       53.21  0.0329720000  0.0396616541
       55.77  0.0351560000  0.0468045113
       58.33  0.0368280000  0.0477443609
       60.89  0.0387480000  0.0453007519
       63.45  0.0406520000  0.0357142857
       66.01  0.0418840000  0.0366541353
       68.56  0.0426280000  0.0330827068
       71.12  0.0430200000  0.0315789474
       73.68  0.0432360000  0.0315789474
       76.24  0.0428480000  0.0293233083
       78.80  0.0419040000  0.0244360902
       81.36  0.0404200000  0.0216165414
       83.92  0.0387240000  0.0178571429
       86.48  0.0359640000  0.0156015038
       89.03  0.0330480000  0.0150375940
       91.59  0.0297480000  0.0122180451
       94.15  0.0266080000  0.0103383459
       96.71  0.0229160000  0.0088345865
       99.27  0.0193040000  0.0105263158
      101.83  0.0158000000  0.0112781955
      104.39  0.0125440000  0.0109022556
      106.94  0.0093840000  0.0144736842
      109.50  0.0069520000  0.0146616541
      112.06  0.0050160000  0.0142857143
      114.62  0.0034440000  0.0139097744
      117.18  0.0022800000  0.0129699248
      119.74  0.0014680000  0.0075187970
      122.30  0.0008280000  0.0062030075
      124.85  0.0005240000  0.0043233083
      127.41  0.0002400000  0.0016917293
      129.97  0.0001000000  0.0003759398
      132.53  0.0000440000  0.0001879699
      135.09  0.0000000000  0.0000000000
