 Ense  Average  Dmax                 =  99.60
 Ense  Average  Dmax                 =  98.75
 Pool  Average  Dmax                 = 103.44
 Pool Histogram Dmax                 = 102.63
       Size    Pool freq.    Sel. freq.
       68.74  0.0000000000  0.0000000000
       70.36  0.0000360000  0.0000000000
       71.97  0.0000880000  0.0000000000
       73.58  0.0002200000  0.0000000000
       75.20  0.0005320000  0.0007518797
       76.81  0.0011280000  0.0016917293
       78.43  0.0023080000  0.0046992481
       80.04  0.0042920000  0.0129699248
       81.66  0.0073520000  0.0238721805
       83.27  0.0115760000  0.0385338346
       84.89  0.0171680000  0.0567669173
       86.50  0.0233640000  0.0659774436
       88.11  0.0303880000  0.0780075188
       89.73  0.0374840000  0.0819548872
       91.34  0.0439800000  0.0733082707
       92.96  0.0496600000  0.0684210526
       94.57  0.0541040000  0.0631578947
       96.19  0.0567680000  0.0475563910
       97.80  0.0579520000  0.0383458647
       99.41  0.0579920000  0.0383458647
      101.03  0.0563960000  0.0289473684
      102.64  0.0540000000  0.0225563910
      104.26  0.0512200000  0.0240601504
      105.87  0.0478600000  0.0189849624
      107.49  0.0442080000  0.0140977444
      109.10  0.0403760000  0.0103383459
      110.72  0.0367760000  0.0118421053
      112.33  0.0330680000  0.0077067669
      113.94  0.0294560000  0.0088345865
      115.56  0.0259600000  0.0073308271
      117.17  0.0228080000  0.0078947368
      118.79  0.0197120000  0.0067669173
      120.40  0.0166800000  0.0060150376
      122.02  0.0140320000  0.0060150376
      123.63  0.0115880000  0.0086466165
      125.25  0.0093720000  0.0073308271
      126.86  0.0074160000  0.0088345865
      128.47  0.0058840000  0.0112781955
      130.09  0.0045320000  0.0131578947
      131.70  0.0034000000  0.0120300752
      133.32  0.0026480000  0.0150375940
      134.93  0.0020200000  0.0144736842
      136.55  0.0014280000  0.0110902256
      138.16  0.0009880000  0.0082706767
      139.77  0.0006880000  0.0067669173
      141.39  0.0004000000  0.0035714286
      143.00  0.0002440000  0.0016917293
      144.62  0.0001680000  0.0013157895
      146.23  0.0001160000  0.0005639098
      147.85  0.0000760000  0.0001879699
      149.46  0.0000360000  0.0000000000
      151.08  0.0000200000  0.0000000000
      152.69  0.0000160000  0.0000000000
      154.30  0.0000000000  0.0000000000
