 Ense  Average  Radius of gyration   =  29.84
 Ense Histogram Radius of gyration   =  29.66
 Pool  Average  Radius of gyration   =  31.29
 Pool Histogram Radius of gyration   =  31.10
            Rg     Pool freq.    Sel. freq.
       23.04  0.0000000000  0.0000000000
       23.42  0.0000160000  0.0000000000
       23.79  0.0000520000  0.0000000000
       24.16  0.0001800000  0.0000000000
       24.54  0.0005120000  0.0001879699
       24.91  0.0010600000  0.0005639098
       25.29  0.0021120000  0.0009398496
       25.66  0.0038320000  0.0033834586
       26.03  0.0063680000  0.0103383459
       26.41  0.0094520000  0.0233082707
       26.78  0.0141240000  0.0321428571
       27.15  0.0196560000  0.0505639098
       27.53  0.0259640000  0.0659774436
       27.90  0.0326960000  0.0928571429
       28.28  0.0394200000  0.0945488722
       28.65  0.0456280000  0.0996240602
       29.02  0.0503560000  0.0960526316
       29.40  0.0538520000  0.0868421053
       29.77  0.0562040000  0.0610902256
       30.14  0.0570480000  0.0524436090
       30.52  0.0563680000  0.0396616541
       30.89  0.0550160000  0.0253759398
       31.27  0.0528040000  0.0182330827
       31.64  0.0498240000  0.0101503759
       32.01  0.0469200000  0.0067669173
       32.39  0.0433040000  0.0063909774
       32.76  0.0400200000  0.0071428571
       33.13  0.0365680000  0.0073308271
       33.51  0.0328760000  0.0075187970
       33.88  0.0292080000  0.0062030075
       34.26  0.0259440000  0.0065789474
       34.63  0.0222160000  0.0054511278
       35.00  0.0189480000  0.0056390977
       35.38  0.0158560000  0.0063909774
       35.75  0.0131040000  0.0062030075
       36.13  0.0103840000  0.0062030075
       36.50  0.0083720000  0.0075187970
       36.87  0.0064240000  0.0065789474
       37.25  0.0049200000  0.0062030075
       37.62  0.0036360000  0.0062030075
       37.99  0.0027200000  0.0060150376
       38.37  0.0019960000  0.0052631579
       38.74  0.0014200000  0.0052631579
       39.12  0.0009880000  0.0050751880
       39.49  0.0006480000  0.0039473684
       39.86  0.0004440000  0.0028195489
       40.24  0.0002280000  0.0016917293
       40.61  0.0001320000  0.0007518797
       40.98  0.0000840000  0.0003759398
       41.36  0.0000520000  0.0001879699
       41.73  0.0000200000  0.0000000000
       42.11  0.0000120000  0.0000000000
       42.48  0.0000040000  0.0000000000
       42.85  0.0000000000  0.0000000000
