 Ense  Average  Radius of gyration   =  37.38
 Ense Histogram Radius of gyration   =  37.03
 Pool  Average  Radius of gyration   =   0.00
 Pool Histogram Radius of gyration   =  45.82
            Rg     Pool freq.    Sel. freq.
       29.11  0.0000000000  0.0000000000
       30.03  0.0005400000  0.0480603448
       30.96  0.0015960000  0.0724137931
       31.88  0.0039400000  0.0898706897
       32.80  0.0076480000  0.1073275862
       33.73  0.0126080000  0.1187500000
       34.65  0.0186040000  0.0890086207
       35.57  0.0250400000  0.0732758621
       36.50  0.0314320000  0.0627155172
       37.42  0.0368240000  0.0515086207
       38.34  0.0410040000  0.0327586207
       39.27  0.0446880000  0.0269396552
       40.19  0.0474840000  0.0204741379
       41.11  0.0486920000  0.0174568966
       42.04  0.0498200000  0.0137931034
       42.96  0.0504360000  0.0144396552
       43.88  0.0494320000  0.0129310345
       44.81  0.0476800000  0.0118534483
       45.73  0.0459640000  0.0096982759
       46.65  0.0438840000  0.0092672414
       47.58  0.0413280000  0.0073275862
       48.50  0.0392560000  0.0075431034
       49.42  0.0370040000  0.0088362069
       50.35  0.0343200000  0.0105603448
       51.27  0.0312080000  0.0114224138
       52.19  0.0282560000  0.0116379310
       53.12  0.0253240000  0.0116379310
       54.04  0.0227440000  0.0107758621
       54.96  0.0204840000  0.0079741379
       55.89  0.0181600000  0.0060344828
       56.81  0.0162360000  0.0049568966
       57.73  0.0140960000  0.0036637931
       58.66  0.0120200000  0.0021551724
       59.58  0.0101280000  0.0017241379
       60.51  0.0085160000  0.0006465517
       61.43  0.0069880000  0.0002155172
       62.35  0.0057200000  0.0002155172
       63.28  0.0046400000  0.0002155172
       64.20  0.0036560000  0.0000000000
       65.12  0.0029480000  0.0000000000
       66.05  0.0024040000  0.0000000000
       66.97  0.0018480000  0.0000000000
       67.89  0.0014520000  0.0000000000
       68.82  0.0011160000  0.0000000000
       69.74  0.0008280000  0.0000000000
       70.66  0.0005840000  0.0000000000
       71.59  0.0004280000  0.0000000000
       72.51  0.0003080000  0.0000000000
       73.43  0.0002480000  0.0000000000
       74.36  0.0001640000  0.0000000000
       75.28  0.0000760000  0.0000000000
       76.20  0.0000640000  0.0000000000
       77.13  0.0000320000  0.0000000000
       78.05  0.0000000000  0.0000000000
