Sample description: primus/qt temporary file
Sample: primus/qt tempo  c= 1.5 mg/ml  Code: tmp
Parent(s): /var/folders/my/9kqlz5zx61sd5jfjbtjhx37r0000gn/T/qt_temp.j38453 /var/folders/my/9kqlz5zx61sd5jfjbtjhx37r0000gn/T/qt_temp.K38453
  1.280030e-02   1.658310e+02   1.843938e+00
  1.329270e-02   1.608340e+02   1.525722e+00
  1.378500e-02   1.572710e+02   1.349065e+00
  1.427730e-02   1.523670e+02   1.102937e+00
  1.476960e-02   1.469930e+02   1.012147e+00
  1.526190e-02   1.423500e+02   8.587357e-01
  1.575430e-02   1.384440e+02   7.898665e-01
  1.624660e-02   1.333230e+02   7.175773e-01
  1.673890e-02   1.297940e+02   6.375015e-01
  1.723120e-02   1.265560e+02   6.204857e-01
  1.772350e-02   1.222950e+02   5.496598e-01
  1.821580e-02   1.181840e+02   5.181780e-01
  1.870820e-02   1.145990e+02   4.544783e-01
  1.920050e-02   1.104480e+02   4.392216e-01
  1.969280e-02   1.071640e+02   4.296985e-01
  2.018510e-02   1.036160e+02   3.754453e-01
  2.067740e-02   1.002700e+02   3.654711e-01
  2.116970e-02   9.730400e+01   3.348628e-01
  2.166210e-02   9.367900e+01   3.251284e-01
  2.215440e-02   9.099300e+01   3.219088e-01
  2.264670e-02   8.788100e+01   2.927973e-01
  2.313900e-02   8.539700e+01   2.828444e-01
  2.363130e-02   8.235100e+01   2.635993e-01
  2.412360e-02   7.925700e+01   2.647270e-01
  2.461590e-02   7.620400e+01   2.385491e-01
  2.510830e-02   7.406400e+01   2.395362e-01
  2.560060e-02   7.164500e+01   2.488666e-01
  2.609290e-02   6.946100e+01   2.252126e-01
  2.658520e-02   6.678200e+01   2.276489e-01
  2.707750e-02   6.486180e+01   2.035168e-01
  2.756980e-02   6.275700e+01   2.098170e-01
  2.806210e-02   6.055620e+01   2.019261e-01
  2.855440e-02   5.868920e+01   1.940489e-01
  2.904670e-02   5.672090e+01   1.911284e-01
  2.953900e-02   5.466070e+01   1.779800e-01
  3.003140e-02   5.292420e+01   1.813813e-01
  3.052370e-02   5.107970e+01   1.800658e-01
  3.101600e-02   4.936710e+01   1.787787e-01
  3.150830e-02   4.803230e+01   1.802081e-01
  3.200060e-02   4.637330e+01   1.698512e-01
  3.249290e-02   4.521440e+01   1.737276e-01
  3.298520e-02   4.340090e+01   1.658229e-01
  3.347750e-02   4.224690e+01   1.623980e-01
  3.396980e-02   4.114720e+01   1.694241e-01
  3.446210e-02   3.973410e+01   1.601774e-01
  3.495440e-02   3.838340e+01   1.607836e-01
  3.544670e-02   3.735540e+01   1.483261e-01
  3.593900e-02   3.588130e+01   1.498910e-01
  3.643130e-02   3.514510e+01   1.514608e-01
  3.692360e-02   3.439320e+01   1.475840e-01
  3.741590e-02   3.336070e+01   1.486140e-01
