Sample description: HEADER
Sample: HEADER  c= 0 mg/ml  Code: 
Parent(s): E:/Data/SAXS/SAXS_pin1/nmrbuffer010-012/avrg_001.dat E:/Data/SAXS/SAXS_pin1/nmrbuffer010-012/avrg_002.dat
 8.685810e-003  2.206420e+002  6.412768e+001
 9.142958e-003  2.176130e+002  5.613849e+001
 9.600105e-003  2.152640e+002  4.178560e+001
 1.005725e-002  2.105400e+002  3.414597e+001
 1.051440e-002  2.075830e+002  2.733207e+001
 1.097154e-002  2.043760e+002  2.033421e+001
 1.142869e-002  2.081500e+002  1.625315e+001
 1.188584e-002  2.066170e+002  1.347865e+001
 1.234298e-002  2.022300e+002  1.179549e+001
 1.280013e-002  2.007790e+002  9.777248e+000
 1.325728e-002  2.017544e+002  7.572867e+000
 1.371442e-002  2.008478e+002  6.527032e+000
 1.417157e-002  1.982548e+002  5.411045e+000
 1.462871e-002  1.973982e+002  4.812478e+000
 1.508586e-002  1.961109e+002  4.034247e+000
 1.554300e-002  1.951397e+002  3.283478e+000
 1.600015e-002  1.941613e+002  3.142097e+000
 1.645729e-002  1.931264e+002  2.601426e+000
 1.691444e-002  1.922798e+002  2.365741e+000
 1.737158e-002  1.904286e+002  1.988983e+000
 1.782872e-002  1.914872e+002  1.807365e+000
 1.828587e-002  1.883644e+002  1.733756e+000
 1.874301e-002  1.885979e+002  1.459156e+000
 1.920016e-002  1.865613e+002  1.344711e+000
 1.965730e-002  1.871421e+002  1.187138e+000
 2.011444e-002  1.863093e+002  1.164604e+000
 2.057158e-002  1.843588e+002  1.074624e+000
 2.102873e-002  1.840710e+002  9.429311e-001
 2.148587e-002  1.827450e+002  8.951620e-001
 2.194301e-002  1.808570e+002  8.052785e-001
 2.240015e-002  1.811246e+002  7.963396e-001
 2.285729e-002  1.792553e+002  7.223004e-001
 2.331443e-002  1.783898e+002  7.365476e-001
 2.377157e-002  1.787782e+002  7.273728e-001
 2.422871e-002  1.768424e+002  6.879113e-001
 2.468585e-002  1.767648e+002  6.871062e-001
 2.514299e-002  1.761110e+002  6.087877e-001
 2.560013e-002  1.747348e+002  6.444984e-001
 2.605727e-002  1.730959e+002  6.107016e-001
 2.651441e-002  1.724905e+002  5.931841e-001
 2.697155e-002  1.703404e+002  5.655819e-001
 2.742869e-002  1.701968e+002  5.258965e-001
 2.788582e-002  1.691876e+002  5.534409e-001
 2.834296e-002  1.685717e+002  5.149181e-001
 2.880010e-002  1.678458e+002  5.197422e-001
 2.925724e-002  1.666443e+002  5.134702e-001
 2.971437e-002  1.657004e+002  4.638447e-001
 3.017151e-002  1.650671e+002  4.994997e-001
 3.062864e-002  1.642316e+002  4.695830e-001
 3.108578e-002  1.635568e+002  4.620553e-001
 3.154291e-002  1.622174e+002  4.466278e-001
 3.200005e-002  1.612707e+002  4.187912e-001
 3.245718e-002  1.600989e+002  4.248522e-001
 3.291431e-002  1.592535e+002  3.931232e-001
 3.337145e-002  1.586687e+002  3.915874e-001
 3.382858e-002  1.572541e+002  3.900720e-001
 3.428571e-002  1.565471e+002  3.872966e-001
 3.474284e-002  1.556302e+002  3.693538e-001
 3.519997e-002  1.548903e+002  3.684270e-001
 3.565711e-002  1.539339e+002  3.762290e-001
 3.611424e-002  1.530314e+002  3.611459e-001
 3.657137e-002  1.519262e+002  3.471069e-001
 3.702849e-002  1.507696e+002  3.491222e-001
 3.748562e-002  1.502360e+002  3.398844e-001
 3.794275e-002  1.490902e+002  3.462255e-001
 3.839988e-002  1.477088e+002  3.427758e-001
 3.885701e-002  1.473155e+002  3.219325e-001
 3.931414e-002  1.463114e+002  3.219266e-001
 3.977126e-002  1.447313e+002  3.168325e-001
 4.022839e-002  1.442441e+002  3.325460e-001
 4.068551e-002  1.434395e+002  3.054928e-001
 4.114264e-002  1.427916e+002  3.170628e-001
 4.159976e-002  1.414734e+002  3.044412e-001
 4.205689e-002  1.408925e+002  3.088421e-001
 4.251401e-002  1.392246e+002  3.052694e-001
 4.297113e-002  1.383985e+002  3.010752e-001
 4.342826e-002  1.379514e+002  3.000752e-001
 4.388538e-002  1.367038e+002  2.950389e-001
 4.434250e-002  1.361292e+002  2.990521e-001
 4.479962e-002  1.356491e+002  3.016966e-001
 4.525674e-002  1.346795e+002  2.928047e-001
 4.571386e-002  1.334313e+002  3.045073e-001
 4.617098e-002  1.320595e+002  2.972348e-001
 4.662810e-002  1.311923e+002  3.498587e-001
 4.708521e-002  1.302947e+002  3.054119e-001
 4.754233e-002  1.298911e+002  2.967704e-001
 4.799945e-002  1.287115e+002  2.953921e-001
 4.845656e-002  1.277172e+002  3.174274e-001
 4.891368e-002  1.270954e+002  2.767557e-001
 4.937079e-002  1.261139e+002  2.844366e-001
 4.982791e-002  1.248398e+002  2.752716e-001
 5.028502e-002  1.239860e+002  2.742331e-001
 5.074213e-002  1.227485e+002  2.650936e-001
 5.119925e-002  1.217322e+002  2.667750e-001
 5.165636e-002  1.219375e+002  2.633906e-001
 5.211347e-002  1.210257e+002  2.563087e-001
 5.257058e-002  1.190756e+002  2.592405e-001
 5.302769e-002  1.187462e+002  2.599234e-001
 5.348480e-002  1.178476e+002  2.477364e-001
 5.394190e-002  1.168411e+002  2.469043e-001
 5.439901e-002  1.163510e+002  2.555144e-001
 5.485612e-002  1.152604e+002  2.511906e-001
 5.531322e-002  1.142316e+002  2.523017e-001
 5.577033e-002  1.129964e+002  2.482422e-001
 5.622743e-002  1.125768e+002  2.319666e-001
 5.668454e-002  1.116476e+002  2.503838e-001
 5.714164e-002  1.111120e+002  2.376236e-001
 5.759874e-002  1.099032e+002  2.510857e-001
 5.805585e-002  1.093221e+002  2.346436e-001
 5.851295e-002  1.084386e+002  2.310255e-001
 5.897005e-002  1.072633e+002  2.363954e-001
 5.942715e-002  1.063385e+002  2.255294e-001
 5.988425e-002  1.062787e+002  2.337200e-001
 6.034134e-002  1.049898e+002  2.223655e-001
 6.079844e-002  1.041021e+002  2.252229e-001
 6.125554e-002  1.032541e+002  2.308099e-001
 6.171263e-002  1.024932e+002  2.204597e-001
 6.216973e-002  1.015248e+002  2.214710e-001
 6.262682e-002  1.006947e+002  2.198114e-001
 6.308392e-002  1.001694e+002  2.196125e-001
 6.354101e-002  9.921600e+001  2.202696e-001
 6.399810e-002  9.861447e+001  2.158819e-001
 6.445519e-002  9.760798e+001  2.162347e-001
 6.491228e-002  9.672019e+001  2.138348e-001
 6.536937e-002  9.578238e+001  2.114397e-001
 6.582646e-002  9.497526e+001  2.114025e-001
 6.628355e-002  9.467825e+001  2.064992e-001
 6.674063e-002  9.384657e+001  2.083733e-001
 6.719772e-002  9.346102e+001  2.041633e-001
 6.765480e-002  9.249540e+001  2.015072e-001
 6.811189e-002  9.170282e+001  2.005191e-001
 6.856897e-002  9.072273e+001  2.051916e-001
 6.902605e-002  9.035591e+001  2.043729e-001
 6.948314e-002  8.920731e+001  1.997964e-001
 6.994022e-002  8.890371e+001  2.057596e-001
 7.039730e-002  8.798620e+001  1.988386e-001
 7.085438e-002  8.768959e+001  2.037944e-001
 7.131145e-002  8.673852e+001  2.034993e-001
 7.176853e-002  8.596828e+001  1.960122e-001
 7.222561e-002  8.505352e+001  2.051435e-001
 7.268268e-002  8.460513e+001  2.005069e-001
 7.313976e-002  8.387690e+001  1.988572e-001
 7.359683e-002  8.313225e+001  1.940907e-001
 7.405390e-002  8.245590e+001  1.968139e-001
 7.451097e-002  8.158382e+001  1.990249e-001
 7.496804e-002  8.126404e+001  1.906647e-001
 7.542511e-002  8.064307e+001  1.923084e-001
 7.588218e-002  7.957576e+001  1.849388e-001
 7.633925e-002  7.869169e+001  1.953696e-001
 7.679632e-002  7.851250e+001  1.911120e-001
 7.725338e-002  7.753425e+001  1.880166e-001
 7.771045e-002  7.721044e+001  1.896832e-001
 7.816751e-002  7.624867e+001  1.898895e-001
 7.862457e-002  7.561444e+001  1.903967e-001
 7.908164e-002  7.492162e+001  1.864650e-001
 7.953870e-002  7.454678e+001  1.866588e-001
 7.999576e-002  7.390957e+001  1.893460e-001
 8.045282e-002  7.335997e+001  1.890672e-001
 8.090987e-002  7.267087e+001  1.894555e-001
 8.136693e-002  7.186690e+001  1.823087e-001
 8.182399e-002  7.134570e+001  1.847334e-001
 8.228104e-002  7.108850e+001  1.877800e-001
 8.273809e-002  7.037101e+001  1.849217e-001
 8.319515e-002  7.017047e+001  1.818435e-001
 8.365220e-002  6.919718e+001  1.807947e-001
 8.410925e-002  6.860420e+001  1.868519e-001
 8.456630e-002  6.871663e+001  1.810814e-001
 8.502335e-002  6.744378e+001  1.786931e-001
 8.548039e-002  6.711608e+001  1.805990e-001
 8.593744e-002  6.639000e+001  1.809129e-001
 8.639449e-002  6.553907e+001  1.834985e-001
 8.685153e-002  6.526923e+001  1.787841e-001
 8.730857e-002  6.500833e+001  1.751963e-001
 8.776561e-002  6.401842e+001  1.794865e-001
 8.822265e-002  6.391943e+001  1.762796e-001
 8.867969e-002  6.303686e+001  1.814930e-001
 8.913673e-002  6.254811e+001  1.761676e-001
 8.959377e-002  6.160130e+001  1.760867e-001
 9.005081e-002  6.130747e+001  1.792479e-001
 9.050784e-002  6.097777e+001  1.716010e-001
 9.096487e-002  6.060947e+001  1.756828e-001
 9.142191e-002  6.008803e+001  1.696085e-001
 9.187894e-002  5.937237e+001  1.768734e-001
 9.233597e-002  5.924669e+001  1.762442e-001
 9.279300e-002  5.842851e+001  1.692557e-001
 9.325003e-002  5.787371e+001  1.731671e-001
 9.370705e-002  5.735330e+001  1.695077e-001
 9.416408e-002  5.723988e+001  1.752767e-001
 9.462110e-002  5.650601e+001  1.699531e-001
 9.507813e-002  5.621763e+001  1.677262e-001
 9.553515e-002  5.549664e+001  1.660868e-001
 9.599217e-002  5.533193e+001  1.678146e-001
 9.644919e-002  5.474900e+001  1.671156e-001
 9.690621e-002  5.418301e+001  1.680686e-001
 9.736322e-002  5.394712e+001  1.681432e-001
 9.782024e-002  5.330541e+001  1.677523e-001
 9.827725e-002  5.284580e+001  1.714983e-001
 9.873427e-002  5.216425e+001  1.645239e-001
 9.919128e-002  5.208444e+001  1.652835e-001
 9.964829e-002  5.144113e+001  1.694801e-001
 1.001053e-001  5.108387e+001  1.662100e-001
 1.005623e-001  5.051535e+001  1.655916e-001
 1.010193e-001  5.025564e+001  1.641039e-001
 1.014763e-001  4.972889e+001  1.619049e-001
 1.019333e-001  4.941728e+001  1.665950e-001
 1.023903e-001  4.883951e+001  1.621686e-001
 1.028473e-001  4.830302e+001  1.604241e-001
 1.033043e-001  4.798060e+001  1.602007e-001
 1.037613e-001  4.765650e+001  1.624544e-001
 1.042183e-001  4.754825e+001  1.597093e-001
 1.046753e-001  4.682843e+001  1.594711e-001
 1.051323e-001  4.667006e+001  1.628192e-001
 1.055893e-001  4.611901e+001  1.615293e-001
 1.060463e-001  4.558335e+001  1.601604e-001
 1.065033e-001  4.547899e+001  1.599279e-001
 1.069603e-001  4.496772e+001  1.579072e-001
 1.074173e-001  4.480543e+001  1.603862e-001
 1.078743e-001  4.426392e+001  1.580940e-001
 1.083313e-001  4.399754e+001  1.564839e-001
 1.087882e-001  4.355126e+001  1.601307e-001
 1.092452e-001  4.343537e+001  1.557623e-001
 1.097022e-001  4.284785e+001  1.605962e-001
 1.101592e-001  4.238413e+001  1.534324e-001
 1.106162e-001  4.211774e+001  1.535885e-001
 1.110731e-001  4.170566e+001  1.570155e-001
 1.115301e-001  4.127758e+001  1.544851e-001
 1.119871e-001  4.108904e+001  1.579143e-001
 1.124441e-001  4.106722e+001  1.523625e-001
 1.129010e-001  4.036193e+001  1.539143e-001
 1.133580e-001  4.004188e+001  1.549316e-001
 1.138150e-001  3.950016e+001  1.537612e-001
 1.142719e-001  3.916074e+001  1.543984e-001
 1.147289e-001  3.888281e+001  1.522511e-001
 1.151859e-001  3.850564e+001  1.537830e-001
 1.156428e-001  3.839577e+001  1.525444e-001
 1.160998e-001  3.815527e+001  1.498044e-001
 1.165568e-001  3.768784e+001  1.493685e-001
 1.170137e-001  3.719397e+001  1.520894e-001
 1.174707e-001  3.725194e+001  1.511100e-001
 1.179276e-001  3.687637e+001  1.501397e-001
 1.183846e-001  3.650004e+001  1.507929e-001
