Sample description: HEADER
Sample: HEADER  c= 0 mg/ml  Code: 
Parent(s): E:/Data/SAXS/SAXS_pin1/nmrbuffer001-003/avrg_002.dat E:/Data/SAXS/SAXS_pin1/nmrbuffer001-003/avrg_001.dat
 8.685810e-003  2.492210e+002  9.242739e+001
 9.142958e-003  2.326600e+002  8.185584e+001
 9.600105e-003  2.399690e+002  6.127418e+001
 1.005725e-002  2.405840e+002  4.988093e+001
 1.051440e-002  2.333530e+002  3.988430e+001
 1.097154e-002  2.350830e+002  2.911769e+001
 1.142869e-002  2.326470e+002  2.350327e+001
 1.188584e-002  2.256560e+002  1.961694e+001
 1.234298e-002  2.281473e+002  1.718527e+001
 1.280013e-002  2.261370e+002  1.428759e+001
 1.325728e-002  2.221271e+002  1.097709e+001
 1.371442e-002  2.268207e+002  9.458414e+000
 1.417157e-002  2.261644e+002  7.894115e+000
 1.462871e-002  2.221198e+002  7.021856e+000
 1.508586e-002  2.208949e+002  5.828594e+000
 1.554300e-002  2.186316e+002  4.772597e+000
 1.600015e-002  2.211773e+002  4.593506e+000
 1.645729e-002  2.170132e+002  3.793958e+000
 1.691444e-002  2.154952e+002  3.413973e+000
 1.737158e-002  2.139700e+002  2.969111e+000
 1.782872e-002  2.123304e+002  2.641126e+000
 1.828587e-002  2.131580e+002  2.529308e+000
 1.874301e-002  2.107407e+002  2.124060e+000
 1.920016e-002  2.115201e+002  1.955398e+000
 1.965730e-002  2.099439e+002  1.728714e+000
 2.011444e-002  2.092532e+002  1.662640e+000
 2.057158e-002  2.091862e+002  1.558806e+000
 2.102873e-002  2.061350e+002  1.372857e+000
 2.148587e-002  2.072188e+002  1.311788e+000
 2.194301e-002  2.064441e+002  1.160832e+000
 2.240015e-002  2.034765e+002  1.150500e+000
 2.285729e-002  2.038739e+002  1.028872e+000
 2.331443e-002  2.029693e+002  1.038972e+000
 2.377157e-002  2.013530e+002  1.024563e+000
 2.422871e-002  2.003001e+002  9.479132e-001
 2.468585e-002  1.991926e+002  9.929091e-001
 2.514299e-002  1.983161e+002  8.839058e-001
 2.560013e-002  1.970210e+002  8.927438e-001
 2.605727e-002  1.960241e+002  8.563982e-001
 2.651441e-002  1.954565e+002  8.152862e-001
 2.697155e-002  1.935842e+002  8.095797e-001
 2.742869e-002  1.941045e+002  7.839063e-001
 2.788582e-002  1.919321e+002  8.024101e-001
 2.834296e-002  1.917989e+002  7.247510e-001
 2.880010e-002  1.893794e+002  7.214391e-001
 2.925724e-002  1.892219e+002  7.530247e-001
 2.971437e-002  1.882066e+002  6.703245e-001
 3.017151e-002  1.881224e+002  7.021654e-001
 3.062864e-002  1.868820e+002  6.642758e-001
 3.108578e-002  1.844910e+002  6.536385e-001
 3.154291e-002  1.841955e+002  6.430209e-001
 3.200005e-002  1.845299e+002  6.094257e-001
 3.245718e-002  1.821590e+002  6.014944e-001
 3.291431e-002  1.816555e+002  5.596810e-001
 3.337145e-002  1.806028e+002  5.592946e-001
 3.382858e-002  1.805356e+002  5.535765e-001
 3.428571e-002  1.793352e+002  5.395577e-001
 3.474284e-002  1.776353e+002  5.341730e-001
 3.519997e-002  1.763418e+002  5.218034e-001
 3.565711e-002  1.763080e+002  5.271388e-001
 3.611424e-002  1.743775e+002  5.196509e-001
 3.657137e-002  1.731231e+002  5.015327e-001
 3.702849e-002  1.728683e+002  4.996183e-001
 3.748562e-002  1.702273e+002  4.869334e-001
 3.794275e-002  1.710765e+002  4.981294e-001
 3.839988e-002  1.700978e+002  4.732534e-001
 3.885701e-002  1.682930e+002  4.678156e-001
 3.931414e-002  1.684419e+002  4.525350e-001
 3.977126e-002  1.671371e+002  4.522261e-001
 4.022839e-002  1.651696e+002  4.785174e-001
 4.068551e-002  1.643200e+002  4.363846e-001
 4.114264e-002  1.630083e+002  4.495913e-001
 4.159976e-002  1.624761e+002  4.401972e-001
 4.205689e-002  1.620268e+002  4.348959e-001
 4.251401e-002  1.605649e+002  4.345470e-001
 4.297113e-002  1.594421e+002  4.227976e-001
 4.342826e-002  1.582055e+002  4.266386e-001
 4.388538e-002  1.573709e+002  4.211841e-001
 4.434250e-002  1.562627e+002  4.242693e-001
 4.479962e-002  1.553166e+002  4.389322e-001
 4.525674e-002  1.551051e+002  4.176556e-001
 4.571386e-002  1.536106e+002  4.372087e-001
 4.617098e-002  1.530320e+002  4.208440e-001
 4.662810e-002  1.512321e+002  5.001905e-001
 4.708521e-002  1.498563e+002  4.376292e-001
 4.754233e-002  1.499206e+002  4.287992e-001
 4.799945e-002  1.483603e+002  4.233566e-001
 4.845656e-002  1.476560e+002  4.504775e-001
 4.891368e-002  1.464866e+002  4.149401e-001
 4.937079e-002  1.453554e+002  4.002563e-001
 4.982791e-002  1.442247e+002  3.932724e-001
 5.028502e-002  1.432381e+002  3.936297e-001
 5.074213e-002  1.423254e+002  3.770289e-001
 5.119925e-002  1.416235e+002  3.746224e-001
 5.165636e-002  1.401191e+002  3.755644e-001
 5.211347e-002  1.397559e+002  3.682493e-001
 5.257058e-002  1.382827e+002  3.739979e-001
 5.302769e-002  1.383559e+002  3.674949e-001
 5.348480e-002  1.363861e+002  3.639540e-001
 5.394190e-002  1.355242e+002  3.589278e-001
 5.439901e-002  1.344913e+002  3.608290e-001
 5.485612e-002  1.333439e+002  3.541563e-001
 5.531322e-002  1.327060e+002  3.540180e-001
 5.577033e-002  1.312374e+002  3.524089e-001
 5.622743e-002  1.311133e+002  3.410566e-001
 5.668454e-002  1.297216e+002  3.523051e-001
 5.714164e-002  1.288964e+002  3.385777e-001
 5.759874e-002  1.277044e+002  3.497357e-001
 5.805585e-002  1.266846e+002  3.381649e-001
 5.851295e-002  1.262998e+002  3.332994e-001
 5.897005e-002  1.250342e+002  3.438920e-001
 5.942715e-002  1.244131e+002  3.268233e-001
 5.988425e-002  1.229058e+002  3.305503e-001
 6.034134e-002  1.218024e+002  3.189859e-001
 6.079844e-002  1.217239e+002  3.165604e-001
 6.125554e-002  1.200018e+002  3.317766e-001
 6.171263e-002  1.192252e+002  3.183580e-001
 6.216973e-002  1.182788e+002  3.210560e-001
 6.262682e-002  1.174239e+002  3.081218e-001
 6.308392e-002  1.167520e+002  3.181511e-001
 6.354101e-002  1.158866e+002  3.162146e-001
 6.399810e-002  1.145945e+002  3.077686e-001
 6.445519e-002  1.141698e+002  3.085631e-001
 6.491228e-002  1.130360e+002  3.042838e-001
 6.536937e-002  1.118551e+002  2.976178e-001
 6.582646e-002  1.112569e+002  3.044442e-001
 6.628355e-002  1.101735e+002  2.964954e-001
 6.674063e-002  1.097265e+002  2.983412e-001
 6.719772e-002  1.085940e+002  2.896575e-001
 6.765480e-002  1.079339e+002  2.904315e-001
 6.811189e-002  1.073178e+002  2.937220e-001
 6.856897e-002  1.064285e+002  2.868770e-001
 6.902605e-002  1.052394e+002  2.938619e-001
 6.948314e-002  1.052597e+002  2.903911e-001
 6.994022e-002  1.034571e+002  2.903714e-001
 7.039730e-002  1.030643e+002  2.859312e-001
 7.085438e-002  1.023370e+002  2.909939e-001
 7.131145e-002  1.013648e+002  2.893537e-001
 7.176853e-002  1.008645e+002  2.817719e-001
 7.222561e-002  9.990374e+001  2.900577e-001
 7.268268e-002  9.938459e+001  2.861822e-001
 7.313976e-002  9.833378e+001  2.905509e-001
 7.359683e-002  9.734586e+001  2.804018e-001
 7.405390e-002  9.664857e+001  2.871636e-001
 7.451097e-002  9.589373e+001  2.823281e-001
 7.496804e-002  9.531541e+001  2.695948e-001
 7.542511e-002  9.444638e+001  2.771819e-001
 7.588218e-002  9.289322e+001  2.661573e-001
 7.633925e-002  9.251894e+001  2.786614e-001
 7.679632e-002  9.230255e+001  2.801095e-001
 7.725338e-002  9.129510e+001  2.757204e-001
 7.771045e-002  9.077441e+001  2.761232e-001
 7.816751e-002  9.009620e+001  2.739269e-001
 7.862457e-002  8.931457e+001  2.822570e-001
 7.908164e-002  8.858484e+001  2.636089e-001
 7.953870e-002  8.735025e+001  2.692731e-001
 7.999576e-002  8.698138e+001  2.740598e-001
 8.045282e-002  8.661773e+001  2.684381e-001
 8.090987e-002  8.569947e+001  2.725274e-001
 8.136693e-002  8.461675e+001  2.622558e-001
 8.182399e-002  8.416793e+001  2.632140e-001
 8.228104e-002  8.318806e+001  2.735847e-001
 8.273809e-002  8.255771e+001  2.620940e-001
 8.319515e-002  8.236432e+001  2.637491e-001
 8.365220e-002  8.130035e+001  2.626137e-001
 8.410925e-002  8.105025e+001  2.717611e-001
 8.456630e-002  8.049738e+001  2.634949e-001
 8.502335e-002  7.930598e+001  2.583678e-001
 8.548039e-002  7.903395e+001  2.644667e-001
 8.593744e-002  7.747468e+001  2.574094e-001
 8.639449e-002  7.737737e+001  2.613597e-001
 8.685153e-002  7.671356e+001  2.572793e-001
 8.730857e-002  7.634248e+001  2.562844e-001
 8.776561e-002  7.557219e+001  2.675706e-001
 8.822265e-002  7.461423e+001  2.502843e-001
 8.867969e-002  7.447025e+001  2.610099e-001
 8.913673e-002  7.376813e+001  2.558037e-001
 8.959377e-002  7.329825e+001  2.545250e-001
 9.005081e-002  7.211496e+001  2.554306e-001
 9.050784e-002  7.160329e+001  2.532637e-001
 9.096487e-002  7.078035e+001  2.537151e-001
 9.142191e-002  7.082929e+001  2.490366e-001
 9.187894e-002  7.052185e+001  2.573505e-001
 9.233597e-002  6.959503e+001  2.565384e-001
 9.279300e-002  6.862615e+001  2.451247e-001
 9.325003e-002  6.868484e+001  2.534943e-001
 9.370705e-002  6.788786e+001  2.446952e-001
 9.416408e-002  6.764176e+001  2.555247e-001
 9.462110e-002  6.618900e+001  2.459740e-001
 9.507813e-002  6.615793e+001  2.406189e-001
 9.553515e-002  6.554847e+001  2.461911e-001
 9.599217e-002  6.498804e+001  2.467675e-001
 9.644919e-002  6.417890e+001  2.388762e-001
 9.690621e-002  6.374810e+001  2.416533e-001
 9.736322e-002  6.303511e+001  2.371779e-001
 9.782024e-002  6.274681e+001  2.422971e-001
 9.827725e-002  6.215706e+001  2.431239e-001
 9.873427e-002  6.161580e+001  2.388849e-001
 9.919128e-002  6.086007e+001  2.415065e-001
 9.964829e-002  6.048225e+001  2.375102e-001
 1.001053e-001  6.009426e+001  2.396354e-001
 1.005623e-001  5.944092e+001  2.388887e-001
 1.010193e-001  5.885854e+001  2.337130e-001
 1.014763e-001  5.849665e+001  2.336465e-001
 1.019333e-001  5.799437e+001  2.367858e-001
 1.023903e-001  5.784790e+001  2.327584e-001
 1.028473e-001  5.695513e+001  2.303580e-001
 1.033043e-001  5.672629e+001  2.278827e-001
 1.037613e-001  5.588478e+001  2.280890e-001
 1.042183e-001  5.549689e+001  2.299062e-001
 1.046753e-001  5.529157e+001  2.262060e-001
 1.051323e-001  5.477471e+001  2.353007e-001
 1.055893e-001  5.386320e+001  2.294687e-001
 1.060463e-001  5.381737e+001  2.334442e-001
 1.065033e-001  5.293078e+001  2.246838e-001
 1.069603e-001  5.300887e+001  2.261051e-001
 1.074173e-001  5.211979e+001  2.328102e-001
 1.078743e-001  5.173901e+001  2.281223e-001
 1.083313e-001  5.120657e+001  2.310210e-001
 1.087882e-001  5.089252e+001  2.328362e-001
 1.092452e-001  5.061476e+001  2.262542e-001
 1.097022e-001  4.997916e+001  2.255356e-001
 1.101592e-001  4.999876e+001  2.238222e-001
 1.106162e-001  4.913397e+001  2.223596e-001
 1.110731e-001  4.859478e+001  2.233218e-001
 1.115301e-001  4.796685e+001  2.251870e-001
 1.119871e-001  4.788071e+001  2.262916e-001
 1.124441e-001  4.730796e+001  2.191151e-001
 1.129010e-001  4.736839e+001  2.236977e-001
 1.133580e-001  4.703012e+001  2.226410e-001
 1.138150e-001  4.647291e+001  2.209377e-001
 1.142719e-001  4.590557e+001  2.218688e-001
 1.147289e-001  4.531962e+001  2.194670e-001
 1.151859e-001  4.502495e+001  2.188553e-001
 1.156428e-001  4.434885e+001  2.212783e-001
 1.160998e-001  4.432746e+001  2.169981e-001
 1.165568e-001  4.376793e+001  2.163905e-001
 1.170137e-001  4.321501e+001  2.186748e-001
 1.174707e-001  4.274047e+001  2.173787e-001
 1.179276e-001  4.280288e+001  2.145394e-001
 1.183846e-001  4.189927e+001  2.162607e-001
 1.188415e-001  4.177994e+001  2.154361e-001
 1.192985e-001  4.150311e+001  2.167658e-001
 1.197554e-001  4.125363e+001  2.119610e-001
 1.202124e-001  4.071185e+001  2.162832e-001
 1.206693e-001  4.054684e+001  2.216159e-001
 1.211263e-001  3.979916e+001  2.185491e-001
 1.215832e-001  3.976639e+001  2.228368e-001
 1.220402e-001  3.986745e+001  2.215577e-001
 1.224971e-001  3.919604e+001  2.189506e-001
 1.229540e-001  3.870210e+001  2.183266e-001
 1.234110e-001  3.800938e+001  2.215818e-001
 1.238679e-001  3.814358e+001  2.200421e-001
 1.243248e-001  3.761777e+001  2.227192e-001
 1.247818e-001  3.725179e+001  2.267127e-001
 1.252387e-001  3.727463e+001  2.258750e-001
 1.256956e-001  3.634648e+001  2.236505e-001
 1.261526e-001  3.656540e+001  2.250267e-001
 1.266095e-001  3.562749e+001  2.265641e-001
 1.270664e-001  3.565503e+001  2.267013e-001
 1.275233e-001  3.574149e+001  2.269309e-001
 1.279803e-001  3.504763e+001  2.256817e-001
 1.284372e-001  3.440167e+001  2.208359e-001
 1.288941e-001  3.462017e+001  2.204936e-001
 1.293510e-001  3.426085e+001  2.203811e-001
