Sample description: HEADER
Sample: HEADER  c= 0 mg/ml  Code: 
Parent(s): E:/Data/SAXS/SAXS_pin1/buffer019-021/avrg_002.dat E:/Data/SAXS/SAXS_pin1/buffer019-021/avrg_001.dat
 8.685810e-003  1.476140e+002  6.159898e+001
 9.142958e-003  1.453610e+002  5.458044e+001
 9.600105e-003  1.458920e+002  4.038899e+001
 1.005725e-002  1.483540e+002  3.338398e+001
 1.051440e-002  1.468680e+002  2.655303e+001
 1.097154e-002  1.482980e+002  1.971466e+001
 1.142869e-002  1.466040e+002  1.583410e+001
 1.188584e-002  1.468300e+002  1.312256e+001
 1.234298e-002  1.471265e+002  1.144142e+001
 1.280013e-002  1.475583e+002  9.526215e+000
 1.325728e-002  1.483838e+002  7.314504e+000
 1.371442e-002  1.474167e+002  6.324384e+000
 1.417157e-002  1.462004e+002  5.225393e+000
 1.462871e-002  1.432576e+002  4.674601e+000
 1.508586e-002  1.432380e+002  3.841137e+000
 1.554300e-002  1.436263e+002  3.213500e+000
 1.600015e-002  1.414877e+002  3.065602e+000
 1.645729e-002  1.413557e+002  2.546618e+000
 1.691444e-002  1.402633e+002  2.333984e+000
 1.737158e-002  1.396648e+002  1.927440e+000
 1.782872e-002  1.392013e+002  1.764488e+000
 1.828587e-002  1.388513e+002  1.669148e+000
 1.874301e-002  1.374378e+002  1.387401e+000
 1.920016e-002  1.363010e+002  1.305303e+000
 1.965730e-002  1.364260e+002  1.143977e+000
 2.011444e-002  1.345215e+002  1.091603e+000
 2.057158e-002  1.354529e+002  1.021605e+000
 2.102873e-002  1.339807e+002  9.051742e-001
 2.148587e-002  1.336895e+002  8.632919e-001
 2.194301e-002  1.321426e+002  7.660716e-001
 2.240015e-002  1.324657e+002  7.583510e-001
 2.285729e-002  1.315324e+002  6.833119e-001
 2.331443e-002  1.312762e+002  7.063434e-001
 2.377157e-002  1.303347e+002  7.081257e-001
 2.422871e-002  1.292199e+002  6.187995e-001
 2.468585e-002  1.292994e+002  6.474224e-001
 2.514299e-002  1.291111e+002  5.826485e-001
 2.560013e-002  1.281808e+002  5.932394e-001
 2.605727e-002  1.274296e+002  5.704742e-001
 2.651441e-002  1.268077e+002  5.542389e-001
 2.697155e-002  1.259098e+002  5.313965e-001
 2.742869e-002  1.260001e+002  5.017993e-001
 2.788582e-002  1.248498e+002  5.042391e-001
 2.834296e-002  1.245720e+002  4.916002e-001
 2.880010e-002  1.242196e+002  4.716917e-001
 2.925724e-002  1.234460e+002  4.846260e-001
 2.971437e-002  1.223621e+002  4.308939e-001
 3.017151e-002  1.224978e+002  4.690068e-001
 3.062864e-002  1.210775e+002  4.405180e-001
 3.108578e-002  1.209140e+002  4.210527e-001
 3.154291e-002  1.207108e+002  4.097574e-001
 3.200005e-002  1.192719e+002  3.953194e-001
 3.245718e-002  1.194032e+002  3.898075e-001
 3.291431e-002  1.184664e+002  3.654576e-001
 3.337145e-002  1.181449e+002  3.724723e-001
 3.382858e-002  1.171424e+002  3.535564e-001
 3.428571e-002  1.163357e+002  3.538651e-001
 3.474284e-002  1.154813e+002  3.388492e-001
 3.519997e-002  1.156820e+002  3.364641e-001
 3.565711e-002  1.140349e+002  3.327738e-001
 3.611424e-002  1.137590e+002  3.342692e-001
 3.657137e-002  1.131304e+002  3.200833e-001
 3.702849e-002  1.125527e+002  3.164660e-001
 3.748562e-002  1.119492e+002  3.156964e-001
 3.794275e-002  1.113703e+002  3.193614e-001
 3.839988e-002  1.110232e+002  3.096583e-001
 3.885701e-002  1.099903e+002  2.992307e-001
 3.931414e-002  1.095956e+002  2.899419e-001
 3.977126e-002  1.087609e+002  2.887648e-001
 4.022839e-002  1.080666e+002  2.980030e-001
 4.068551e-002  1.075423e+002  2.820738e-001
 4.114264e-002  1.066188e+002  2.941363e-001
 4.159976e-002  1.063618e+002  2.827464e-001
 4.205689e-002  1.059265e+002  2.858183e-001
