 Ense  Average  Radius of gyration   =  18.20
 Ense Histogram Radius of gyration   =  18.16
 Pool  Average  Radius of gyration   =   0.00
 Pool Histogram Radius of gyration   =  17.25
            Rg     Pool freq.    Sel. freq.
       15.10  0.0000000000  0.0000000000
       15.17  0.0000400000  0.0000000000
       15.24  0.0000600000  0.0000000000
       15.30  0.0001400000  0.0000000000
       15.37  0.0002200000  0.0000000000
       15.44  0.0005800000  0.0000000000
       15.51  0.0009600000  0.0000000000
       15.57  0.0014200000  0.0000000000
       15.64  0.0025800000  0.0000000000
       15.71  0.0033800000  0.0000000000
       15.78  0.0045400000  0.0000000000
       15.84  0.0058200000  0.0000000000
       15.91  0.0074200000  0.0000000000
       15.98  0.0084600000  0.0000000000
       16.05  0.0103400000  0.0000000000
       16.11  0.0121000000  0.0000000000
       16.18  0.0145000000  0.0000000000
       16.25  0.0163200000  0.0000000000
       16.32  0.0191000000  0.0000000000
       16.38  0.0208600000  0.0000000000
       16.45  0.0229400000  0.0000000000
       16.52  0.0240600000  0.0000000000
       16.59  0.0258000000  0.0000000000
       16.65  0.0265800000  0.0000000000
       16.72  0.0283400000  0.0000000000
       16.79  0.0294200000  0.0000000000
       16.85  0.0309600000  0.0000000000
       16.92  0.0320800000  0.0000000000
       16.99  0.0322000000  0.0000000000
       17.06  0.0327000000  0.0000000000
       17.12  0.0322600000  0.0000000000
       17.19  0.0313400000  0.0000000000
       17.26  0.0310600000  0.0000000000
       17.33  0.0312600000  0.0000000000
       17.39  0.0307200000  0.0000000000
       17.46  0.0310400000  0.0000000000
       17.53  0.0310000000  0.0000000000
       17.60  0.0308400000  0.0000000000
       17.66  0.0311000000  0.0000000000
       17.73  0.0315600000  0.0000000000
       17.80  0.0312200000  0.0000000000
       17.87  0.0310600000  0.0000000000
       17.93  0.0305600000  0.0066736184
       18.00  0.0302200000  0.1361835245
       18.07  0.0284000000  0.1947862357
       18.14  0.0273400000  0.1947862357
       18.20  0.0257800000  0.1947862357
       18.27  0.0226400000  0.1933263816
       18.34  0.0180200000  0.0638164755
       18.41  0.0134800000  0.0052137643
       18.47  0.0085400000  0.0052137643
       18.54  0.0044800000  0.0052137643
       18.61  0.0018000000  0.0000000000
       18.67  0.0000000000  0.0000000000
