Sample description: HtrASnrefolded
Sample: HtrASnrefolded  c= 1.16 mg/ml  Code: 
  9.688330e-02   4.068199e-02   1.833172e-03
  9.963310e-02   4.175244e-02   1.797796e-03
  1.023830e-01   4.149283e-02   1.704647e-03
  1.051330e-01   4.321616e-02   1.707736e-03
  1.078820e-01   4.117535e-02   1.649207e-03
  1.106320e-01   4.436536e-02   1.596094e-03
  1.133820e-01   3.906422e-02   1.554579e-03
  1.161320e-01   4.095973e-02   1.496870e-03
  1.188810e-01   4.115210e-02   1.496976e-03
  1.216310e-01   3.809230e-02   1.440687e-03
  1.243810e-01   4.152210e-02   1.404129e-03
  1.271310e-01   3.903784e-02   1.407029e-03
  1.298800e-01   4.158682e-02   1.369137e-03
  1.326300e-01   4.117074e-02   1.367620e-03
  1.353800e-01   4.038124e-02   1.334437e-03
  1.381300e-01   3.959661e-02   1.305882e-03
  1.408790e-01   4.040753e-02   1.314977e-03
  1.436290e-01   3.809683e-02   1.253074e-03
  1.463790e-01   4.005323e-02   1.265782e-03
  1.491290e-01   3.879006e-02   1.230592e-03
  1.518790e-01   3.796334e-02   1.213020e-03
  1.546280e-01   3.981801e-02   1.219688e-03
  1.573780e-01   3.773858e-02   1.176620e-03
  1.601280e-01   3.693063e-02   1.173366e-03
  1.628780e-01   3.708787e-02   1.155884e-03
  1.656270e-01   3.710532e-02   1.148546e-03
  1.683770e-01   3.597158e-02   1.135155e-03
  1.711270e-01   3.774414e-02   1.112446e-03
  1.738770e-01   3.603231e-02   1.114428e-03
  1.766260e-01   3.513442e-02   1.092327e-03
  1.793760e-01   3.664784e-02   1.109097e-03
  1.821260e-01   3.591414e-02   1.067648e-03
  1.848760e-01   3.599439e-02   1.069178e-03
  1.876250e-01   3.660945e-02   1.073866e-03
  1.903750e-01   3.524284e-02   1.036456e-03
  1.931250e-01   3.549846e-02   1.045223e-03
  1.958750e-01   3.379713e-02   1.013265e-03
  1.986240e-01   3.410367e-02   1.021013e-03
  2.013740e-01   3.337477e-02   1.001716e-03
  2.041240e-01   3.207579e-02   9.771033e-04
  2.068740e-01   3.349424e-02   9.941267e-04
  2.096230e-01   3.243694e-02   9.738483e-04
  2.123730e-01   3.334958e-02   9.876970e-04
  2.151230e-01   3.249224e-02   9.658921e-04
  2.178730e-01   3.173812e-02   9.507931e-04
  2.206230e-01   3.255280e-02   9.661100e-04
  2.233720e-01   2.988001e-02   9.251827e-04
  2.261220e-01   3.107914e-02   9.372390e-04
  2.288720e-01   3.081349e-02   9.146831e-04
  2.316220e-01   3.030541e-02   9.123433e-04
  2.343710e-01   3.038713e-02   9.174139e-04
  2.371210e-01   2.937094e-02   8.966385e-04
  2.398710e-01   2.849965e-02   8.854775e-04
  2.426210e-01   2.986744e-02   8.902107e-04
  2.453700e-01   3.030905e-02   8.986158e-04
  2.481200e-01   2.997312e-02   8.898343e-04
  2.508700e-01   2.818697e-02   8.623170e-04
  2.536200e-01   2.711405e-02   8.569429e-04
  2.563690e-01   2.861566e-02   8.619053e-04
  2.591190e-01   2.822896e-02   8.626531e-04
  2.618690e-01   2.665350e-02   8.419554e-04
  2.646190e-01   2.741309e-02   8.333716e-04
  2.673680e-01   2.775586e-02   8.503300e-04
  2.701180e-01   2.592144e-02   8.196869e-04
  2.728680e-01   2.566034e-02   8.189384e-04
  2.756180e-01   2.609084e-02   8.105284e-04
  2.783680e-01   2.611344e-02   8.221054e-04
  2.811170e-01   2.563141e-02   8.123717e-04
  2.838670e-01   2.494122e-02   8.003012e-04
  2.866170e-01   2.536526e-02   7.986747e-04
  2.893670e-01   2.438915e-02   7.823908e-04
  2.921160e-01   2.480258e-02   7.895719e-04
  2.948660e-01   2.423191e-02   7.761002e-04
  2.976160e-01   2.358294e-02   7.708873e-04
  3.003660e-01   2.385094e-02   7.653594e-04
  3.031150e-01   2.252492e-02   7.556967e-04
  3.058650e-01   2.130534e-02   7.497978e-04
  3.086150e-01   2.127823e-02   7.396613e-04
  3.113650e-01   2.195673e-02   7.383986e-04
  3.141140e-01   2.182080e-02   7.393747e-04
  3.168640e-01   2.206472e-02   7.418249e-04
  3.196140e-01   2.115836e-02   7.333226e-04
  3.223640e-01   2.121169e-02   7.218426e-04
  3.251130e-01   2.008401e-02   7.223872e-04
  3.278630e-01   1.948609e-02   7.107670e-04
  3.306130e-01   2.013720e-02   7.076218e-04
  3.333630e-01   2.012245e-02   7.046932e-04
  3.361120e-01   1.940948e-02   6.982872e-04
