Sample description: chromixs
Sample: chromixs  c= 0 mg/ml  Code: chromixs
 7.297755e-003  4.565124e-002  2.311965e-003
 7.753864e-003  4.578777e-002  1.601071e-003
 8.209973e-003  4.525876e-002  1.157914e-003
 8.666082e-003  4.526373e-002  8.972110e-004
 9.122190e-003  4.520930e-002  6.657982e-004
 9.578299e-003  4.495225e-002  5.544095e-004
 1.003441e-002  4.494562e-002  4.339221e-004
 1.049052e-002  4.454530e-002  3.852032e-004
 1.094662e-002  4.363366e-002  3.325475e-004
 1.140273e-002  4.326691e-002  2.758247e-004
 1.185884e-002  4.306877e-002  2.518907e-004
 1.231495e-002  4.256493e-002  2.254968e-004
 1.277106e-002  4.260105e-002  2.179789e-004
 1.322716e-002  4.186201e-002  1.949828e-004
 1.368327e-002  4.172008e-002  1.893415e-004
 1.413938e-002  4.132105e-002  1.836617e-004
 1.459549e-002  4.074179e-002  1.692812e-004
 1.505159e-002  4.038164e-002  1.689356e-004
 1.550770e-002  3.980945e-002  1.571499e-004
 1.596381e-002  3.923021e-002  1.551578e-004
 1.641991e-002  3.908696e-002  1.545765e-004
 1.687602e-002  3.848668e-002  1.471166e-004
 1.733212e-002  3.801912e-002  1.453065e-004
 1.778823e-002  3.744352e-002  1.374952e-004
 1.824433e-002  3.716936e-002  1.425001e-004
 1.870044e-002  3.674202e-002  1.351239e-004
 1.915654e-002  3.619968e-002  1.344386e-004
 1.961265e-002  3.587623e-002  1.312471e-004
 2.006875e-002  3.518328e-002  1.263828e-004
 2.052486e-002  3.473074e-002  1.280231e-004
 2.098096e-002  3.408522e-002  1.222218e-004
 2.143707e-002  3.400237e-002  1.224380e-004
 2.189317e-002  3.320464e-002  1.200224e-004
 2.234927e-002  3.290243e-002  1.178335e-004
 2.280537e-002  3.244205e-002  1.169939e-004
 2.326148e-002  3.173808e-002  1.121949e-004
 2.371758e-002  3.145705e-002  1.141240e-004
 2.417368e-002  3.100053e-002  1.107304e-004
 2.462978e-002  3.045596e-002  1.099927e-004
 2.508588e-002  2.999293e-002  1.074328e-004
 2.554199e-002  2.960376e-002  1.053908e-004
 2.599809e-002  2.906452e-002  1.069537e-004
 2.645419e-002  2.856110e-002  1.024315e-004
 2.691029e-002  2.827228e-002  1.041543e-004
 2.736639e-002  2.775778e-002  1.003210e-004
 2.782249e-002  2.724170e-002  9.836814e-005
 2.827858e-002  2.690803e-002  9.979614e-005
 2.873468e-002  2.650493e-002  9.429878e-005
 2.919078e-002  2.618884e-002  9.731171e-005
 2.964688e-002  2.563469e-002  9.447368e-005
 3.010298e-002  2.528870e-002  9.361068e-005
 3.055907e-002  2.508359e-002  9.295562e-005
 3.101517e-002  2.458591e-002  9.052810e-005
 3.147127e-002  2.425561e-002  9.174307e-005
 3.192736e-002  2.385678e-002  8.916170e-005
 3.238346e-002  2.335209e-002  8.941427e-005
 3.283955e-002  2.307301e-002  8.809908e-005
 3.329565e-002  2.277009e-002  8.537088e-005
 3.375174e-002  2.252028e-002  8.660282e-005
 3.420784e-002  2.207347e-002  8.372184e-005
 3.466393e-002  2.170227e-002  8.328146e-005
 3.512002e-002  2.123128e-002  1.891280e-004
 3.557612e-002  2.117880e-002  8.180838e-005
 3.603221e-002  2.079674e-002  8.261140e-005
 3.648830e-002  2.066600e-002  7.976295e-005
 3.694439e-002  2.008454e-002  7.996965e-005
 3.740048e-002  1.998194e-002  7.863623e-005
 3.785657e-002  1.975961e-002  7.883358e-005
 3.831266e-002  1.937633e-002  7.806699e-005
 3.876875e-002  1.915340e-002  7.678329e-005
 3.922484e-002  1.878051e-002  7.669831e-005
 3.968093e-002  1.851439e-002  7.545574e-005
 4.013702e-002  1.846274e-002  7.502828e-005
 4.059310e-002  1.820530e-002  7.462998e-005
 4.104919e-002  1.791516e-002  7.276864e-005
 4.150528e-002  1.753465e-002  7.398645e-005
 4.196136e-002  1.747497e-002  7.192761e-005
 4.241745e-002  1.701663e-002  7.250389e-005
