 Tue Feb 28 23:53:14 2012
        MODEL     FREQUENCY
         166           1
         239           1
         248           3
         338           1
         487           4
         564           1
         588           1
         614           1
         652          13
         676           2
         707          25
         722           2
         742           3
         823           2
        1046          18
        1051           6
        1124           1
        1163           1
        1195           3
        1288           2
        1485           5
        1598           8
        1674           3
        1675           4
        1725          19
        1776          17
        1791           1
        1798           2
        1813           1
        1906           5
        1907          14
        1934           2
        2072          18
        2216           1
        2310           6
        2367          10
        2381           8
        2427           2
        2433           1
        2445           2
        2457           1
        2529           5
        2541           1
        2569           1
        2683          11
        2738           8
        2771           5
        2773          27
        2801           2
        2817          14
        2824          10
        2837           1
        2839           2
        2861           4
        2919           1
        3019           6
        3030           6
        3070           4
        3248           1
        3285           2
        3354           2
        3442           8
        3484           1
        3762           1
        3772           4
        3909           1
        3916          20
        3954           3
        3997          19
        4023          11
        4051           3
        4057           3
        4150          16
        4243           5
        4682           5
        4781           5
        4886          15
        4940           9
        5016           1
        5037           5
        5124           2
        5186           3
        5303          33
        5314           2
        5353           3
        5374           2
        5431           2
        5435           4
        5442           3
        5469           1
        5543          31
        5592           3
        5599           1
        5712           1
        5772           8
        5812          13
        5828           1
        5837          29
        5863           1
        5885           3
        5940           4
        5949           1
        5975           3
        6045          23
        6062           1
        6075           4
        6146           3
        6440          17
        6519          12
        6551           8
        6568           1
        6689           6
        6697          60
        6810           1
        6830           1
        6967           3
        7122           2
        7148          13
        7204           3
        7258           2
        7320          30
        7416           1
        7521          11
        7527           1
        7605           2
        7647           1
        7677          16
        7690           3
        7714          17
        7828           6
        7901           6
        8017           1
        8097           4
        8171          10
        8205           2
        8245           3
        8249          23
        8251           3
        8256           1
        8345          10
        8493           1
        8615           2
        8645           3
        8761           4
        8800           7
        8883           1
        9221           2
        9363          11
        9367          14
        9526           1
        9673           3
        9796           1
        9868           6
        9927           1
        9971           9
